"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","II08ER","2023-07-20",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-19",2.33333333333333,2.66666666666667,5,6.16666666666667,20,31.1666666666667,4.5,4.04166666666667,0.516397779494322,0.516397779494322,0.632455532033676,0.408248290463863,37.5499667110372,46.04526758166,0.836660026534076,0.332290033956281,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"2","II08ER","2023-07-21",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-20",2.85714285714286,3.28571428571429,4.71428571428571,5.14285714285714,11.4285714285714,11.4285714285714,4.57142857142857,4,0.377964473009227,0.487950036474267,0.487950036474267,0.377964473009227,26.0950643025148,26.0950643025148,0.975900072948533,0.144337567297406,1,NA,NA,NA,NA,NA,NA,NA,NA
"3","II08ER","2023-07-22",2,-77,-77,"-66",1690048080,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-21",4.16666666666667,5,3.16666666666667,3.5,28.3333333333333,31.1666666666667,5,3.95833333333333,0.752772652709081,0,0.983192080250175,1.04880884817015,39.707262140151,42.9623866500299,1.26491106406735,0.332290033956281,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"4","II08ER","2023-07-23",1,2,3,"Die Familie eines Nachbarn mit dem ich mal liiert war hatte einen Haufen Katzen und Kaninchen, die aus ihrem Garten geflohen sind. EInige von ihnen sind in unseren Garten gekommen. Ich wollte eine Babykatze in unser WOhnzimmer lassen aber 2 andere waren vor der Tür und sind auch reingekommen und haben das andere Baby gepiesakt. Ich habe eine von den gemeinen Katzen mit einem Brett weggehauen und die 2 gemeinen sind wieder rausgegangen. Als ich in den Garten gegangen bin hat sich ein riesiges schwarzes Kaninchen auf mich gestürzt und meinen Daumen gelutscht. Es wollte partout nicht loslassen und ich habe es mit rein genommen. Ich habe einen Igel gefunden der fast noch ein Baby war und kaum Stacheln hatte. Ich hab ihn in eine Decke gewickelt, damit ihm nicht kalt wird und mit rein genommen. Später habe ich gemerkt, dass der Igel mich irgendwie kennt. Meine Mutter hat ihn dann ausversehen in einer Art riesigen Game Boy Colour verbrannt. Da habe ich gemerkt, dass der Igel eigentlich ein Mann war, der mit dem Igel verbunden war und der Mann wollte mich suchen kommen. Er ist nach Frankreich gegangen, weil er dachte ich sei Französin. Eine Freundin hat ihn gefragt, wie er mich finden will da Paris riesig ist. Er meinte, er müsse nur das Mädchen mit den grünen AUgen finden. Am HImmel waren Fragezeichen aus WOlken.",1690136400,4,1,5,20,3,1,1,1,1,2,0,2,0,0,0,0,0,0,2,2,0,227,11.35,4,5,1,"2023-07-22",4.2,4.8,2.8,3.8,0,0,4,3.9,0.836660026534076,0.447213595499958,0.447213595499958,0.447213595499958,0,0,0,0.379143772202578,0.714285714285714,0.15,0.333333333333333,0.05,NA,0.05,0.333333333333333,0.05,0.2
"5","II08ER","2023-07-24",2,-77,-77,"-66",1690214220,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-23",4,4.83333333333333,3.16666666666667,4,50,50,5,4,0.632455532033676,0.408248290463863,0.408248290463863,0.632455532033676,54.7722557505166,54.7722557505166,1.26491106406735,0.158113883008419,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"6","II08ER","2023-07-25",1,1,2,"Es war Nacht, irgendwas mit einer Farm, entweder eine Abschlussfeier, ein Kochwettbewerb oder beides, irgendwas mit Eulen, jemand ist verschwunden ",1690307280,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1,1,NA,"2023-07-24",2.6,3.6,4.2,5.8,0,0,4,4.05,0.894427190999916,0.547722557505166,0.836660026534076,0.447213595499958,0,0,0,0.209165006633519,0.714285714285714,0,NA,0,NA,0,NA,0,NA
"7","II08ER","2023-07-26",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-25",1.6,3,4.8,6.4,40,40,3.6,3.95,0.547722557505166,0.707106781186548,0.836660026534076,0.547722557505166,54.7722557505166,54.7722557505166,0.547722557505166,0.325960120260132,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"8","II08ER","2023-07-27",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-26",2,3.4,4.4,6,60,60,4.4,3.95,0,0.547722557505166,0.547722557505166,0.707106781186548,54.7722557505166,54.7722557505166,0.894427190999916,0.273861278752583,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"9","II08ER","2023-07-28",1,1,2,"Ich war in einem viktorianischen Haus, das außen historisch aussah, drinnen aber modern, bis auf den Dachboden der alt und dreckig war. Mein Bruder war da und hat irgendeinen Pakt mit Jason Voorhees von Friday the 13th gemacht und sollte jemanden umbringen. Ich wollte ihn aufhalten aber dafür musste ich ein dunkles Symbol am Himmel zerstören. Ich hatte irgendwie magische Kräfte und habe Energiebälle auf das Symbol gefeuert, das hat aber nichts gebracht. Also bin ich auf das Symbol zugeflogen um es von nahem zu zerstören, allerdings bin ich abgeprallt und bin brennend zurück auf die Erde geknallt.  Ich musste irgendwie meine Gruppe von Freunden, größtenteils Leute aus der Grundschule beschützen. Ich habe ein Foto von all meinen Freunden gefunden, dass sie ohne mich auf meinem Geburtstag aufgenommen haben. Als ich sie alle nach und nach aufgesucht habe, waren sie gemein und abweisend zu mir, obwohl die Welt offensichtlich unterging und ich sie retten wollte. ",1690570140,9,1,5,12,4,4,1,1,4,4,1,0,0,3,0,0,0,0,7,1,0,155,12.9166666666667,2.4,5,3,"2023-07-27",2,3.66666666666667,4.33333333333333,5.66666666666667,19,16.3333333333333,4.33333333333333,3.91666666666667,0,0.577350269189626,0.577350269189626,0.577350269189626,27.0739727413618,28.2901631902917,0.577350269189626,0.144337567297406,0.428571428571429,0.333333333333333,1,0.333333333333333,0.0612244897959185,0.0833333333333333,1,0.333333333333333,0.6
"10","II08ER","2023-07-29",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-28",2.4,3.2,4.2,5.8,0,0,4,3.9,0.547722557505166,0.447213595499958,0.447213595499958,0.447213595499958,0,0,0,0.136930639376292,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
