"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","IN08OE","2023-10-19",1,2,3,"Ich lief im Traum mit einem Kommilitonen auf dem Willy-Brandt-Platz in Essen (kurz vor dem Essener HBF) und redete über Prüfungsanmeldungen. Im Traum hieße es, dass einige Studiengänge 10 Jahre Vorlauf bräuchten für die Prüfungsanmeldung, andere nur 3 Tage.     Außerdem träumte ich, danach in der S-Bahn Richtung nach Hause zu sein und erfuhr im Traum, dass sich die Klausurnote vom Frühstudium in Datenbankmanagementsysteme von 2,3 auf 3,0 geändert hätte, obwohl die Note schon längst eingetragen war.    Zusätzlich träumte ich, wie ich meiner Oma einen Passwortmanager auf ihrem Laptop einrichtete.",1697709180,1,3,3,3,2,2,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,89,29.6666666666667,1,1,2,"2023-10-18",6.16666666666667,6.66666666666667,1.16666666666667,1.83333333333333,53.1666666666667,20.3333333333333,5,3.95833333333333,0.983192080250175,0.516397779494322,0.408248290463863,0.752772652709081,34.394282470589,19.7450415716622,1.26491106406735,0.292261298612503,0.857142857142857,0.666666666666667,1,0.666666666666667,0.0491803278688525,0.333333333333333,1,0.666666666666667,0.666666666666667
"2","IN08OE","2023-10-20",1,2,3,"Im Traum war ich im Hallenbad in meiner Stadt und ich musste in 4er-Staffel 40x25 Meter mit Brett schwimmen. Obwohl das nur für Damen war, wurde ich als Herr auch mit hineingeschickt. Im Bad gab es keine trennenden Leinen. Ich war in Bahn 3 und einige Kolleginnen meines Zeichenkurses waren auf Bahn 2. Beim Schwimmen im Traum bin ich mehrfach fast von der Bahn abgekommen.    In einem anderen Traum war ich bei Kommilitonen bei diesem zu Hause. Wir feierten eine Party. Im Traum war es Frühling und 25 Grad. Mehrere Gäste tranken im Traum schon beim Abstoßen 3 große Gläser Bier hintereinander und da ich im Traum bei Saft blieb, wurde ich im Traum als Spaßbremse bezeichnet. Jedes Mal, wenn ich im Traum etwas trank, tranken die anderen Gäste je drei große Gläser Bier. Im Traum, als ich 5 Gläser Wasser und Saft hatte, hatten alle Anderen 15 große Biere zu sich genommen und wurden im Traum zu grünen Zombies. Im Traum flüchtete ich vor denen und konnte im Traum mich so zu beschleunigen, dass ich im Traum schneller ging, als der RE-Zug mich zur Uni bringen würde. Da ich im Traum zu Fuß mit mehr als 100 km/h unterwegs war, wusste ich, dass ich im Traum war, denn in der echten Welt kann ich gehend etwa 6 bis 7 km/h erreichen. Dann wurde ich im Traum als Satanist, Anhänger Satans bezeichnet, all das, nur, weil ich nie Alkohol trinke.    Nach den beiden Träumen bin ich etwa eine Stunde vor dem Wecker aufgewacht; da die Zeit kurz war, legte ich mich nicht wieder hin, denn heute plante ich zu Hause für die Uni zu lernen.",1697781660,2,2,4,12,6,2,0,0,2,1,0,0,5,1,0,0,5,0,2,0,10,277,23.0833333333333,3,2,4,"2023-10-19",6.42857142857143,7,1.28571428571429,1.85714285714286,61.8571428571429,15.1428571428571,5.14285714285714,4.14285714285714,0.786795792469443,0,0.487950036474267,0.377964473009227,21.3496961057886,8.37513326119992,1.0690449676497,0.196698948117361,1,0.5,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0.166666666666667,1
"3","IN08OE","2023-10-21",1,2,5,"Ich kann mich in dieser Nacht nur an ein Fragment eines Traumes erinnern:  Im Traum habe ich einem Dschinn geholfen, seinen Freund, einem Dämon mit Kürbiskopf aus dem Computer zu befreien. An genaue Details, wie exakt ich im Traum das machen konnte, kann ich mich nicht erinnern.",1697867400,3,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,47,47,1,1,1,"2023-10-20",6.5,6.83333333333333,1,1.66666666666667,45.1666666666667,19.3333333333333,5,4,0.836660026534076,0.408248290463863,0,0.816496580927726,38.8093631314232,28.7518115371304,1.26491106406735,0.158113883008419,0.857142857142857,1,1,1,0,0,1,1,1
"4","IN08OE","2023-10-22",1,2,3,"Mein Traum war eine TV-Dokumentation über einen Dompteur, der Vampiren half, keine Angst mehr vor Feuer zu haben. Im Traum hieß es, dass dieser Dompteur Anfang des 20. Jahrhunderts im Zirkus dabei die Vampire so ernährte, wie zu der Zeit das noch niemand im Sinn hatte, heute aber selbstverständlich ist. Das Ziel laut Doku im Traum war, viel Gemüse und wenig Fleisch zu essen. Im Traum in der Doku konnten die Vampire dann Zeichnungen betrachten, auf denen Dämonen abgebildet waren, die Feuer magisch beschworen.",1697959320,4,1,1,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,84,42,2,1,1,"2023-10-21",7,6.4,1.4,1.6,45,28,4.6,4.1,0,0.894427190999916,0.547722557505166,0.894427190999916,41.3279566395437,30.5368629692049,1.14017542509914,0.285043856274785,0.714285714285714,1,0,0,0,0,0,0,1
"5","IN08OE","2023-10-23",2,-77,-77,"-66",1698028620,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-22",6.5,6.66666666666667,1.33333333333333,1.66666666666667,35,14.1666666666667,4.83333333333333,4.04166666666667,0.836660026534076,0.516397779494322,0.816496580927726,0.816496580927726,39.8748040747538,16.8572437446537,0.983192080250175,0.18819316317727,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"6","IN08OE","2023-10-24",1,2,5," Im Traum habe ich mit einem männlichen Elf an der Einbahnstraße, in der ich lebe, gezählt, wie oft gegen die Einbahnstraße verstoßen wird. Damit half ich im Traum dem Elf in dem Fach Statistik. Es kam im Traum  raus, dass freitags am häufigsten gegen die Einbahnstraße verstoßen wird. Der Elf bedankte sich im Traum.",1698172320,6,1,2,3,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,54,18,1.5,2,2,"2023-10-23",6,7,1.4,1.8,30,11.2,5,4.05,0.707106781186548,0,0.547722557505166,0.836660026534076,28.2842712474619,10.3537432844358,1,0.273861278752583,0.714285714285714,0.666666666666667,1,0.666666666666667,0,0,1,0.666666666666667,1
"7","IN08OE","2023-10-25",2,-77,-77,"-66",1698199800,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-24",6.71428571428571,7,1.14285714285714,1.28571428571429,52.2857142857143,10.7142857142857,5.42857142857143,4.03571428571429,0.487950036474267,0,0.377964473009227,0.487950036474267,30.0816349606327,8.38081709847526,1.2724180205607,0.172516389835589,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","IN08OE","2023-10-26",1,2,3,"Im Traum habe ich gesehen, wie ein Verlies zu einer Bibliothek umgebaut wurde. Dabei wurde ein neuer Aufzug gegraben.",1698313920,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,1,1,NA,"2023-10-25",6.42857142857143,6.57142857142857,1.57142857142857,1.57142857142857,64.2857142857143,24.8571428571429,6.14285714285714,4.03571428571429,0.786795792469443,0.786795792469443,1.13389341902768,0.786795792469443,19.7206683939658,15.6144011671765,1.0690449676497,0.172516389835589,1,0,NA,0,0,0,NA,0,NA
"9","IN08OE","2023-10-27",1,2,4,"Im Traum fuhr ich in Essen mit der U-Bahn. Auf einmal wurde im Essener Hauptbahnhof gesagt, dass die U-Bahn nicht mehr weiter ging. Vor uns erschien plötzlich ein riesiges rotes Gehirn, gegen das dann alle U-Bahn-Fahrgäste gekämpft haben. Nachdem das Hirn weg war, war der Weg nach oben frei. So konnte ich im Traum weiter.",1698422520,9,1,1,5,2,2,1,0,1,0,0,1,1,0,0,1,0,1,0,2,1,57,11.4,5,1,1,"2023-10-26",6,6.25,1.25,1.5,40.5,27,5.5,3.75,0.816496580927726,0.5,0.5,0.577350269189626,49.2713574672615,36.8239052790439,1.73205080756888,0.204124145231932,0.571428571428571,0.4,1,0.4,0.037037037037037,0,0.5,0.2,1
"10","IN08OE","2023-10-28",2,-77,-77,"-66",1698468000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-27",6.83333333333333,7,1,1,32.8333333333333,13.1666666666667,5.83333333333333,3.95833333333333,0.408248290463863,0,0,0,25.9724212707762,9.32559202767667,1.16904519445001,0.102062072615966,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"11","IN08OE","2023-10-29",1,2,5,"Im Traum habe ich das neue Windows 11 ausproviert und im Traum gefiel es mir besser als Windows 10. Alle meine Programme liefen im Traum reibungslos.",1698554760,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,1,1,NA,"2023-10-28",6.5,7,1.16666666666667,1.33333333333333,54,36,6,4,0.836660026534076,0,0.408248290463863,0.516397779494322,21.753160689886,22.3964282866711,0.894427190999916,0.158113883008419,0.857142857142857,0,NA,0,0,0,NA,0,NA
"12","IN08OE","2023-10-30",1,1,2,"In dieser Nacht träumte ich, dass ich meinen Laptop zuklappen wollte, aber bei jedem Zuklappversuch glitt meine Hand durch den Laptop und auf dem Laptop war eine Fehlermeldung zu sehen. Irgendwann half mir ein Dschinn beim Schließen des Laptops und der Laptop ging zu.",1698693000,12,1,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,44,22,1,2,1,"2023-10-29",6.71428571428571,7,1.14285714285714,1,38.4285714285714,20.1428571428571,6.14285714285714,3.96428571428571,0.487950036474267,0,0.377964473009227,0,30.6423298877938,24.7347836822868,0.899735410842437,0.0944911182523068,1,0.5,1,0.5,0,0,1,0.5,0.5
"13","IN08OE","2023-10-31",2,-77,-77,"-66",1698733080,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-30",7,7,1,1,54.8333333333333,35.6666666666667,6.5,4,0,0,0,0,34.9480566937085,26.1125767910152,0.547722557505166,0,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
