"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","JD01HR","2023-08-28",1,1,2,"Erster Traum, an den ich mich erinnere: Ich war in einer Kirche mit einer hohen Decke im barocken Stil. Diese hatte einen Gang, der wie ein Kreuzgang aussah, aber keinen Hof mit Kreuz einschloss, sondern der Vorraum zu Großraumbüros war. Ich wollte von meinem Supervisor eine neue Aufgabe, habe aber zunächst keine erhalten. Dann wurde mir gesagt, ich solle einen Kurs machen, der in meiner alten Schule stattfand, aber um den anerkannt zu bekommen, musste ich auch noch einen anderen Kurs, einen Mathekurs mit meiner damaligen Mathe-Lehrerin machen (die mich gehasst und im Unterricht schikaniert hat). In diesen Kurs habe ich mich auch reingesetzt (dort waren auch viele meiner alten Klassenkameraden, teilweise auch die, die mich auch gemobbt haben). Ich habe mich unwohl gefühlt und nicht mitgemacht. Es war komisch, wieder in der Schule zu sein, obwohl ich eigentlich schon studiere und gerade aus dem Erasmus-Semester komme. Ich hatte das Gefühl, alle sehen mich an, und fragen sich, was ich hier mache. Es war dann am Ende doch nicht meine ehemalige Mathe Lehrerin, sondern ein anderer Kursleiter da, aber es war trotzdem unangenehm, weil ich schlecht in Mathe bin. Irgendwann habe ich dann angefangen, Murmeln rauszuholen und damit heimlich zu spielen. Ich habe mir nach dem Ende des Kurses geschworen, nicht wiederzukommen und einen Weg zu finden, diesen Kurs nicht besuchen zu müssen. Später war in dieser Kirche bzw. auf dem Gelände, von dem die Kirche Teil war (ein großes Klostergelände, genauer eine Mischung aus Hogwarts und meiner alten Schule, dem Calvarienberg Ahrweiler), eine große Feier. Ich bin durch die Menge gestreift. Dabei habe ich mich an mein Erasmus-Semester erinnert, in dem ich auf vielen Partys war.  Zweiter Traum, an den ich mich erinnere: Ich war auf Reisen und habe eine Stadt besucht, die ich im Traum in Norditalien verortet habe. Um den großen Felsen, auf dem die Stadt gebaut war, waren die Berge und in der Ferne konnte ich die Burg Arco erkennen, nicht aber den Gardasee. An diesem Ort stand eine riesige Kathedrale auf einem großen Felsen. Es war eine Kathedrale, sie sah aber mehr nach einer Festung aus, in ihrer Fassade hatte sie blaue und orangefarbene Mosaike. Ich bin große Stufen hinab geklettert und wollte mir das imposante Gebäude von innen ansehen, allerdings wurde ich schon von einem Priester empfangen und in ein kleines Café neben der Kirche begleitet, wo ich mich mit ihm unterhalten hab. Es war ein wunderschöner, atemberaubender Ort, ich wäre dort gerne länger geblieben, aber ich musste weiter.",1693202460,1,2,7,20,8,3,2,1,2,0,4,1,1,0,0,1,0,1,0,6,1,415,20.75,2.85714285714286,3.5,4,"2023-08-27",3.85714285714286,4.71428571428571,3.28571428571429,3.42857142857143,96.4285714285714,78.5714285714286,4.28571428571429,3.82142857142857,0.690065559342354,0.487950036474267,0.755928946018455,0.534522483824849,9.44911182523068,39.3397896234722,0.487950036474267,0.374006620771548,1,0.4,0.375,0.15,0.0254545454545454,0.05,0.25,0.1,0.571428571428571
"2","JD01HR","2023-08-29",1,1,2,"In meinem heutigen Traum habe ich mich mit meiner Familie gestritten, am Ende waren fast alle sauer auf mich. Ich wollte meine eine Schwester unbedingt bei etwas ausstechen. Ich habe mich danach schlecht gefühlt, denn wir haben im Streit verletzende Sachen gesagt. Ich habe mit meiner Mama gesprochen, sie hat mich verstanden und mir geraten, mich zu entschuldigen. Außerdem habe ich im Traum gefroren.",1693283940,2,1,5,6,4,2,2,2,2,4,0,0,0,2,0,0,0,0,6,0,0,64,10.6666666666667,1.2,5,4,"2023-08-28",4.66666666666667,5.16666666666667,3.16666666666667,3.16666666666667,83.3333333333333,67.5,5.33333333333333,4.04166666666667,0.816496580927726,1.16904519445001,0.983192080250175,0.752772652709081,40.8248290463863,42.8660704987056,0.816496580927726,0.245798020062544,0.857142857142857,0.666666666666667,0.5,0.333333333333333,0.0296296296296296,0.333333333333333,0.5,0.333333333333333,0.8
"3","JD01HR","2023-08-30",1,2,2,"In meinem ersten Traum habe ich geträumt, ich würde herein gelegt. Jemand wollte, dass ich verschlafe und hat daher meinen Wecker ausgestellt. Ich weiß nicht mehr, wer oder warum.  In meinem zweiten Traum habe ich geträumt, dass ich von einer Anwältin aus der Kanzlei, in der ich gerade Praktikum mache, kritisiert wurde, weil ich bei Word den Korrekturmodus genutzt habe, um ein Dokument zu korrigieren. Sie meinte, ich hätte die Änderungen einfach ohne Nachverfolgung ändern sollen, was mich überrascht hat. Der Traum spielte im Büro der Kanzlei. Den Korrekturauftrag habe ich gestern auf der Arbeit erledigt.",1693370040,3,2,2,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,96,32,1.5,1,1,"2023-08-29",4.5,5.16666666666667,2.5,2.83333333333333,75,49,5.16666666666667,3.75,1.22474487139159,0.752772652709081,0.836660026534076,0.752772652709081,41.8330013267038,32.6863886044329,0.752772652709081,0.273861278752583,0.857142857142857,0.333333333333333,1,0.333333333333333,0,0,1,0.333333333333333,0.5
"4","JD01HR","2023-08-31",1,2,2,"In meinem Traum kamen Ratten vor. Sie waren in einem Haus, in dem ich eigentlich Zeit verbringen wollte (es war aber nicht mein eigenes Haus). Das hat mich extrem angeekelt. Jemand meinte dann, das wäre doch nicht so dramatisch (ich weiß nicht mehr wer).  Außerdem habe ich noch einen Ball besucht. Ich stand an einem Tisch mit Sektgläsern. ",1693456380,4,2,3,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,58,14.5,1.33333333333333,1.5,1,"2023-08-30",5.5,6,2,2.25,50,27.5,4.75,3.9375,0.577350269189626,0,0,0.5,57.7350269189626,32.0156211871642,0.957427107756338,0.125,0.571428571428571,0.25,1,0.25,0,0,1,0.25,0.333333333333333
"5","JD01HR","2023-09-01",1,2,3,"Ich habe mit meiner besten Freundin in einem Wohnheim zusammen gewohnt in einem Zimmer mit 2 Betten. Wir waren auf einem Flur mit vielen Zimmern. In unserem Zimmer mit der Nummer 15 konnte man reinschauen, weil die Front verglast war. Es war das einzige Zimmer, das eine derartige Glasfront hatte, aber trotzdem kam mir das nicht seltsam vor. (Ich denke, dieses Detail hat mit einem Fall zu tun, den ich in der Kanzlei, wo ich Praktikum mache, gerade bearbeite, in dem es um Polizeiüberwachung durch Videokameras geht, die teilweise unabsichtlich auch in Wohnungen hineinfilmen). Das Zimmer war gemütlich und clever eingerichtet. Es fand eine Art Party statt. Überall auf dem Flur waren Menschen, die dort zusammen saßen und geredet und gelacht haben. Ich war unten in einer Art Sporthalle und habe dort mit einer Freundin von mir, mit der ich lange nichts mehr zu tun hatte, Fotos gemacht. Wir sind beide Harry Potter Fans und aus irgendeinem Grund wollten wir Fotos in Slytherin Look, also alles in grün, machen. Meine Freundin wollte auch unbedingt, dass wir uns dafür auf den Boden legen, was ich erst auf keinen Fall wollte, aber ich habe mich überreden lassen. Ich hatte kein grünes Shirt bei mir, deswegen habe ich zu einem der vielen Zuschauer gesagt, dass er mir sein Hemd geben soll. Fast alle der Zuschauer waren männlich und hatten grüne Shirts an. Der entsprechende Typ hat mir das Shirt dann auch gegeben, aber ich konnte es nicht anziehen, weil es sehr komisch genäht war. Deswegen bin ich hoch in mein Zimmer gerannt, um etwas grünes zu holen. Dort habe ich mein neues schönes grünes Top geholt und sogar noch eine lange grüne Perlenkette und ein grünes Haarband. Meine beste Freundin meinte, warum ich die grünen Sachen bräuchte und ich habe es ihr erklärt. Dann bin ich wieder zurückgerannt, die Treppe runter, durch einen Flur, in die große Sporthalle, wo die anderen schon auf mich gewartet haben. Dann haben wir die Fotos gemacht. Jemand meinte zu mir, dass ich so selbstbewusst sei.   Dann bin ich noch auf einer Straße außerhalb des Wohnheims unterwegs gewesen mit meiner besten Freundin. Plötzlich kamen mir zwei meiner alten Lehrer*innen aus meiner Gymnasiumszeit entgegen, die ich eigentlich sehr mag, aber ich habe mich weggedreht und war schüchtern. Ich dachte mir: Was soll ich nach all den Jahren zu ihnen sagen? Insbesondere die Meinung meines ehemaligen Latein Lehrers, der auch dabei war, bedeutet mir immer noch viel. Er ist ein so netter Mensch.   Dann habe ich noch im Gespräch mit 2 Fremden zugegeben, dass ich von der Flutkatastrophe im Ahrtal betroffen bin und die Fakten zu dem Ereignis kenne, denn die beiden wollten mir falsche Informationen über die Flut erzählen. (Es gab tatsächlich nach der Flutkatastrophe auch ein größeres Problem mit Verbreitung von Falschinformationen.)  Außerdem war ich während des Traums mindestens einmal in einem Supermarkt und habe dort mit meiner besten Freundin eingekauft. In dem Supermarkt gab es unverpackte Schokolade in großen Boxen, da haben wir uns dann in Tüten verschiedene Schokoladensorten abgefüllt.  Weiterhin bin ich mit einem Freund, in den ich mal verliebt war, der dann aber keine Beziehung mit mir wollte, noch spazieren gegangen. Ich dachte, die Atmosphäre würde total komisch sein, aber es war eine ganz angenehme Atmosphäre, was eine große Erleichterung war.",1693555200,5,4,9,24,16,13,10,3,6,10,0,4,1,1,0,2,0,0,11,6,1,546,22.75,2.66666666666667,2.25,9,"2023-08-31",5.83333333333333,6.5,1.5,2.16666666666667,87.3333333333333,56.1666666666667,5.83333333333333,4,0.408248290463863,0.547722557505166,0.547722557505166,0.408248290463863,21.2759645296439,26.8954766952859,0.408248290463863,0,0.857142857142857,0.666666666666667,0.8125,0.541666666666667,0.178041543026706,0.125,0.375,0.25,1
"6","JD01HR","2023-09-02",1,2,5,"Ich habe einen Tag am See mit Freund*innen von mir verbracht. Der See war mein Lieblingssee in meinem Erasmus Semester in Trento, aus dem ich vor wenigen Wochen zurückgekehrt bin. Ich war glücklich, wieder dort zu sein.",1693672260,6,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,37,37,1,1,1,"2023-09-01",4.83333333333333,5.5,2.33333333333333,2.66666666666667,99.8333333333333,70.8333333333333,5,3.83333333333333,1.32916013582513,1.37840487520902,1.36626010212795,0.816496580927726,0.408248290463863,32.926686238774,1.09544511501033,0.302765035409749,0.857142857142857,1,1,1,0.0141176470588235,0,0,0,1
"7","JD01HR","2023-09-03",2,-77,-77,"-66",1693714080,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-02",5,6,2,2.4,100,100,5.2,3.85,0,0,0,0.547722557505166,0,0,0.447213595499958,0.136930639376292,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"8","JD01HR","2023-09-04",2,-77,-77,"-66",1693825500,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-03",3,3.66666666666667,4.16666666666667,4.83333333333333,100,100,4.5,3.91666666666667,1.54919333848297,1.86189867250253,1.72240142436851,1.94079021706795,0,0,1.04880884817015,0.204124145231932,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"9","JD01HR","2023-09-05",1,2,5,"In meinem 1. Traum habe ich geträumt, dass meine Brandblase schon aufgegangen ist und meine Hand schon wieder verheilt war. Ich war total überrascht, dass das so schnell gegangen ist und glücklich, die Hand wieder normal einsetzen zu können. Ich konnte auf die Arbeit gehen. Es hat so viel geschneit, ich habe aus meinem Bürofenster geschaut und da tobte praktisch ein Schneesturm.  In meinem 2. Traum hat meine älteste Schwester an einer Art Schönheitswettbewerb in Trento teilgenommen. Einmal war das Thema Fliegen, einmal Auf hoher See. Jedes Thema wurde in einer Art Parade durch die Stadt präsentiert mit Musik und vielen Zuschauer*innen. Beim Thema Fliegen haben viele Teilnehmerinnen so getan, als würden sie einen Fallschirm öffnen. Für das Motto Auf hoher See wurde eine Straße geflutet, dass die Teilnehmerinnen auf Booten fahren konnten. Ich habe mit meiner Familie in Trento übernachtet, um das Ereignis zu erleben. Später war ich mit meinen beiden Schwestern auf den Straßen unterwegs in Trento. Auf der Piazza del Duomo, dem zentralen Platz, war ein Nico Santos Konzert, aber es waren kaum Leute da, die zuhören wollten. Deswegen habe ich zu meinen Schwestern gesagt, dass das sicher nicht Nico Santos, sondern ein Betrüger war.   In meinem letzten Traum heute bin ich wieder geflogen. Zuerst war es ein Alptraum. Aus irgendeinem Grund wurde ich gesucht, von meinem Lieblingsdetective aus einer meiner Lieblingsserien Brooklyn Nine Nine. Ich war auf einer Wanderung mit ein paar Bekannten und einer ehemaligen Freundin aus Schulzeiten, die mich seinerseits schlimm ausgenutzt hat, und habe einen Abzweig auf einen Klettersteig genommen. Zuerst musste man über eine  Seilbrücke gehen. Dann war ich plötzlich allein, weil die anderen nicht so schnell hinterher gekommen waren. Als ich zurück an der Stelle war, wo ich sie verloren habe (eine Stelle im Wald, wo es eine Art natürliche Treppe gab), war da plötzlich ein Wolf, der mich angegriffen hat, allerdings hat sein Biss überhaupt nicht weh getan, weswegen ich verwirrt war. Der Wolf hat auch einfach wieder von mir abgelassen. Dann kamen auch noch ein Bär und eine Art Büffel, riesengroß und angsteinflößend, die natürliche Brücke hinabgetrabt. Meine ehemalige Freundin war auch dort und hat sich zusammen gekauert. Die Tiere haben sich sehr langsam bewegt und plötzlich war auch so eine unheimliche Musik im Hintergrund, als sie näher kamen. Und in dem Moment habe ich erkannt, dass das ein Traum ist (ich glaube daran, dass es extrem unwahrscheinlich ist, einen Bären zu treffen; weil es im Trentino tatsächlich Bären gibt, habe ich viel über sie gelesen und sie sind sehr menschenscheu) und angefangen, ihn zu kontrollieren. Ich habe mich von meiner ehemaligen Freundin und den Tieren abgewandt und da hatte sich meine Umgebung schon von einem Wald zu einer Stadt gewandelt. Da war eine große Treppe und ich bin einfach darauf zu gelaufen und bin sie auf einmal runter gesprungen. Danach bin ich durch einen Säulengang gerannt (inzwischen war es Nacht), so schnell wie noch nie. Ich wusste, ich kann so schnell rennen, weil ich träume. Die Landschaft ist an mir vorbei geflogen. Weil ich wusste, dass ich träume, bin ich auf einen Abgrund zugerannt und gesprungen und dann bin ich geflogen. Ich vermisse Trento so sehr, dass ich einfach nur dort hin wollte. Ich bin Richtung Trento geflogen, denn ich war bereits im Trentino. Die Landschaft unter mir war so wunderschön und weit. Ich konnte Städte und Straßen, Seen, Flüsse und Berge sehen, es war ein unglaubliches Gefühl. Zuerst bin ich alleine geflogen und dann hat sich eine Freundin, die ich aus meinem Erasmus Semester kenne, zu mir gesellt. Einmal bin ich an einem Riesenrad vorbei geflogen, an dem riesengroße Playmobil Männchen befestigt waren und als ich hingesehen habe, hat sich eins vom Riesenrad gelöst und mir gewunken. Trento habe ich leider nicht mehr erreicht, bevor ich aufgewacht bin, allerdings habe ich in der Ferne schon den Doss, einen der umliegenden Hügel von Trento, erkannt. Aber der Flug war unglaublich. Ich habe in einer Stadt einen Zwischenstopp gemacht, um einen Freund von mir mitzunehmen, wir sind ein kurzes Stück Arm in Arm geflogen, weil er allein nicht fliegen konnte. Im Traum hat es sich so angefühlt, als ob ich fliegen kann, solange ich nur daran glaube, dass ich es kann.",1693900500,9,4,12,44,12,6,3,0,3,8,1,3,0,4,0,3,0,0,12,7,0,702,15.9545454545455,3.66666666666667,3,6,"2023-09-04",5.83333333333333,6.16666666666667,1.83333333333333,2.16666666666667,75,65,5.33333333333333,4,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,41.8330013267038,41.8330013267038,0.816496580927726,0.158113883008419,0.857142857142857,0.272727272727273,0.5,0.136363636363636,0.0461538461538462,0,0.25,0.0681818181818182,0.5
"10","JD01HR","2023-09-06",1,1,2,"Ich habe geträumt, dass wir (meine Familie und ich) mit unserem VW Bus in den Urlaub fahren wollten. Dafür sind wir auf einer hoch angelegten Straße gefahren. Papa hat zu stark zurück gesetzt und ist rückwärts die Klippe hinunter gefahren. Er meinte, das war es jetzt. Aber Mama hat kühlen Kopf bewahrt und gesagt, wir sollen alle einen Helm aufsetzen und uns losschnallen, was wir gemacht haben. Tatsächlich konnten wir uns aus dem Wasser befreien und keiner von uns ist ertrunken, auch wenn das eintauchen ins schwarze Wasser sehr unheimlich war. Ich bin für die Situation verhältnismäßig ruhig geblieben. Auch, wenn wir alle überlebt haben, haben sich Mama und Papa sofort nach dem auftauchen wieder gestritten. Danach hat Mama uns eröffnet, dass wir unser Haus in Mayschoß verkaufen werden und nie wieder dort wohnen können aus finanziellen Gründen. Ich war untröstlich und meinte, jetzt hätte ich keinen Ort mehr, an den ich zurückkehren könne. In der Realität haben wir das Haus schon vor 2 Jahren verloren, da es bei der Flutkatastrophe im Ahrtal unbewohnbar geworden ist. ",1693974240,10,1,3,10,7,6,3,1,4,7,0,0,0,2,0,0,0,0,9,0,0,176,17.6,3.33333333333333,3,3,"2023-09-05",5.5,5.5,2.5,2.5,16.6666666666667,16.6666666666667,5.16666666666667,4,1.22474487139159,1.22474487139159,1.22474487139159,1.22474487139159,40.8248290463863,40.8248290463863,1.32916013582513,0,0.857142857142857,0.7,0.857142857142857,0.6,0.18,0.1,0.571428571428571,0.4,1
