"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","JN06AM","2023-08-18",2,-77,-77,"-66",1692376260,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-17",6.14285714285714,7,1,1.57142857142857,47.1428571428571,48.1428571428571,5,3.92857142857143,0.377964473009227,0,0,0.534522483824849,41.5829635444957,41.8864678682291,1.4142135623731,0.121987509118567,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","JN06AM","2023-08-19",1,2,4,"Ich war mit meinen Uni-Freunden auf „Klassenfahrt“ mit noch weiteren Personen von der Uni. Wir waren insgesamt ca. 7 Personen. 3 davon sind meine engen Freunde aus der Uni und 3 Personen kenne ich nur flüchtig. Wir waren alle zusammen in einer Art Arztpraxis, weil sich einer aus der Gruppe nicht wohl fühlte. Er war dann für den Hauptteil des Traums nicht mehr anwesend. Ich saß mit den weiteren Personen im Wartezimmer und wir redeten über die Statistiknote, die wir über den Tag bekommen haben. Es war ein sehr entspanntes Gespräch. Nach einer gewissen Zeit im Wartezimmer kamen zwei Männer, die ich nicht kannte, die aber anscheinend auch an der Uni studierten und über die Uni-Memes Seite mit uns redeten. Nach einer gewissen Zeit kam mein Freund aus der Untersuchung und wir gingen alle zusammen etwas essen. Es muss Lobster gewesen sein, weil wir beim nächsten Setting, auf einem Boot auf dem See darüber sprachen, wie der Abend und das Abendessen war. Auf dem Boot waren dann noch mit uns zusammen ein American Football Quarterback und seine Frau, die sich dann auch mit uns über Lobster unterhielt. Er sagte, dass er erst gar nicht wusste, was wir meinen und nannte dann ein franziösisches Wort, dass er immer für die Bezeichnung von Lobster verwendete. Ich kannte dieses Wort nicht und die gesamte Gruppe auf dem Boot inkl. der Quarterback mit seiner Frau lachten darüber.     Dann war der Traum vorbei.",1692422400,2,1,5,11,10,9,7,4,6,1,0,1,0,0,0,2,0,0,1,3,0,239,21.7272727272727,2.2,5,5,"2023-08-18",6.5,7,1,1.5,80.1666666666667,78.1666666666667,6.33333333333333,4,0.547722557505166,0,0,0.547722557505166,31.384178604301,29.4239131773234,0.816496580927726,0.158113883008419,0.857142857142857,0.909090909090909,0.9,0.818181818181818,0.0895522388059701,0.363636363636364,0.6,0.545454545454545,1
"3","JN06AM","2023-08-20",2,-77,-77,"-66",1692562800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-19",6.85714285714286,7,1,1.14285714285714,94.1428571428571,93.2857142857143,6.85714285714286,4,0.377964473009227,0,0,0.377964473009227,7.44823405084658,8.38081709847526,0.377964473009227,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","JN06AM","2023-08-21",1,2,2,"Ich war mit zwei Freundinnen in einem Konzert. Wir waren alle sehr chic angezogen. Im Laufe des Abends entwickelte sich das positive Setting immer mehr zu einem Tatort-Setting. In den Gängen des Opernhauses war es sehr dunkel. Dunkelbraune Holzelemente waren an den Wänden und die Räumen wurden nur schwach von Lampen an den Wänden beleuchtet. Ich war gerade mit meinen Freundinnen auf dem Weg zur Toilette, doch dann ging ein Mann schnellen Schrittes an uns vorbei und ging in die Toilette. Wir blieben kurz stehen und wunderten uns, dass er auf die Frauentoilette ging, doch nach etwa 30sek folgte ihm eine Frau in die Toilette und man hörte schnell aufeinander folgende Hebelgeräusche. Wir baten die beiden Männer, die auf den Bänken um die Toilette saßen um Hilfe. Wir rannten alle gemeinsam in die Toilette, weil uns klar war, dass dort gerade auf jemanden eingestochen wird. Wir wussten nur nicht, wer auf wen einstach. Als wir die Tür öffneten, sahen wir, wie die Frau immer wieder für den nächsten Stich ausholt. Als sie uns bemerkte, ließ sie das Messer fallen, kam auf uns zu und sagte: „Sagt mir Bescheid, ob er es übersteht.“ und ging an uns vorbei. ",1692595920,4,1,2,14,10,5,3,0,2,2,0,6,0,2,0,1,0,0,4,7,0,197,14.0714285714286,7,2,2,"2023-08-20",7,7,1,1.2,100,100,6.8,4.05,0,0,0,0.447213595499958,0,0,0.447213595499958,0.111803398874989,0.714285714285714,0.714285714285714,0.5,0.357142857142857,0.03,0,0.2,0.142857142857143,1
"5","JN06AM","2023-08-22",2,-77,-77,"-66",1692686040,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-21",6,7,1,2.33333333333333,97,96.3333333333333,5.83333333333333,4.08333333333333,0.894427190999916,0,0,0.816496580927726,7.34846922834953,8.98146239020499,0.752772652709081,0.129099444873581,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"6","JN06AM","2023-08-23",2,-77,-77,"-66",1692768720,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-22",6.16666666666667,7,1,1.83333333333333,100,99.8333333333333,6.33333333333333,4,0.408248290463863,0,0,0.752772652709081,0,0.408248290463863,0.516397779494322,0.158113883008419,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"7","JN06AM","2023-08-24",2,-77,-77,"-66",1692896220,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-23",6.16666666666667,7,1,1.66666666666667,100,100,6,3.95833333333333,0.408248290463863,0,0,0.516397779494322,0,0,0,0.102062072615966,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"8","JN06AM","2023-08-25",2,-77,-77,"-66",1692967140,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-24",6.16666666666667,7,1,1.83333333333333,98.1666666666667,98,6.16666666666667,4,0.408248290463863,0,0,0.408248290463863,4.49073119510249,4.89897948556636,0.408248290463863,0,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"9","JN06AM","2023-08-26",2,-77,-77,"-66",1693074600,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-25",6.16666666666667,7,1,1.66666666666667,100,100,6.5,3.95833333333333,0.408248290463863,0,0,0.516397779494322,0,0,0.547722557505166,0.102062072615966,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"10","JN06AM","2023-08-27",2,-77,-77,"-66",1693166160,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-26",6,7,1,2,100,100,6.16666666666667,4,0,0,0,0.632455532033676,0,0,0.408248290463863,0.158113883008419,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"11","JN06AM","2023-08-28",1,2,2,"Dieser Traum fühlt sich so an, als würde ich im Traum schlafen und hätte das Jeweilige geträumt.   Ich war in Asien und war auf der Flucht. Wie es dazu gekommen ist, kann ich nicht sagen. Ich bin durch die ganze Stadt gelaufen und konnte die Verfolger schnell abhängen, aber irgendwie lief ich trotzdem weiter. Ich rannte in so eine Art Freizeitpark und dort wurde ich weiter verflogt und rannte über Hängebrücken und durch Warteschlangen durch. Danach war ich wieder beim Frühstück mit meiner Familie und wurde nicht mehr verflogt. ",1693222320,11,2,3,9,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,89,9.88888888888889,3,1.5,1,"2023-08-27",6.5,7,1,1.5,100,100,6.66666666666667,4,0.547722557505166,0,0,0.547722557505166,0,0,0.516397779494322,0,0.857142857142857,0.111111111111111,1,0.111111111111111,0.01,0,0,0,0.333333333333333
"12","JN06AM","2023-08-29",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-28",6.66666666666667,7,1,1.33333333333333,99.6666666666667,99,6.83333333333333,4,0.516397779494322,0,0,0.516397779494322,0.816496580927726,2.44948974278318,0.408248290463863,0.158113883008419,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"13","JN06AM","2023-08-30",2,-77,-77,"-66",1693371720,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-29",5.71428571428571,7,1,2.42857142857143,65.1428571428571,63.8571428571429,5.42857142857143,4.03571428571429,0.755928946018455,0,0,0.786795792469443,44.9978835481128,44.3336913698396,0.786795792469443,0.172516389835589,1,NA,NA,NA,NA,NA,NA,NA,NA
