"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","KR04SB","2023-10-26",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",6.33333333333333,7,1,2,23.5,26.3333333333333,5.5,4.08333333333333,0.516397779494322,0,0,0,28.9534108526094,40.9178037859642,1.37840487520902,0.129099444873581,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"2","KR04SB","2023-10-27",1,2,4,"(Ich geh davon aus das ich hiervor noch mehr geträumt habe, dunkel kann ich mich an einen Ice der in einem Tal durch Schnee fährt erinnern aber mehr nicht.)   Ich kam aus einem Container und war auf einer Talwiese in Österreich mit meiner Traum-Famile, bestehend aus Edward und Bella von Twillight als Eltern und weiteren unwichtigen Geschwistern. Die Gipfel der Berge um uns herum trugen Schnee und am Rand der Wiese lief ein Fluß, welcher zum Wald hin mit Bauzäunen abgestellt war und sich irgendwo im Wald verlor. Meine Geschwister gingen jeden Tag aus und regelmäßig zur Schule nur ich musste immer bewacht von meinen Eltern auf der Wiese bleiben. Eines Tages überzeigte ich meine Mutter davon mit mir auf Reifen den Fluss entlang zu fahren. Als dieser Reißender wurde und kurz davor war sich zu spalten, trat ich gegen den Reifen meiner Mutter und beförderte sie so auf den rechten Flußarm, der wieder an der Wiese vorbei führen würde und mich auf den Linken, welcher in einen dichten Urwald hinein führte.   Nach einer Weile Spaltete sich der Fluß plötzlich wieder. Links floss er langsam und breit weiter, recht endete er in einer Schmalen nach oben Führenden Spirale. Ich nach Rechts um eine Windung und Sprang dann auf das Ufer zwischen den beiden Flußteilen. In der Mitte der Spirale lag ein mit Bauzäunen abgegrenztes Wasserbecken in welches das Wasser nach untengezogen zu werden schien. Von dort aus ging eine Rutsche, deren oberes Ende aber noch hinter den Bauzäunen lag, die Anhöhe zum linken Flußteil hinab und endete in diesem. Ich kletterte ein Stück die Erhöhung zum linken Teil hinab und überlegte mir wie ich auf den unteren Teil der Rutsche kommen könnte um von da aus zu sehen ob Tiere im Wasser waren die mir bei der überqueerung des Flusses gefährlich werden könnten. Zwischen mir und dem Zugang zur Rutsche lagen Schlangen verschiedener Größe und Farben. Endlich schaffte ich es diese zu umgehen und stand nun auf der Rutsche. Im Wasser konnte ich keine Tiere entdecken. Auf der anderen Seite des Ufers Stand eine brüchige Mauer, welche Halb vom Urwald überwachsen war. Aus dieser schauten mich zwei Geschwister an und sagten mir das der Fluss sicher zu überqueeren währe. Vor meinem geistigen Auge machten mir die eine der Beiden es vor. Ich sprang rein und zog mich am anderen Ufer die Mauer hinauf auf einen Vorsprung, von dem aus ich zu dem gleichhohen, etwas mehr Flussabwärts gelegenen Fenster der Geschwister sehen konnten. Das Mädchen kicherte und vor meinem inneren Auge sah ich ein Bild von hier wie sie von meiner Position aus nochmal reinsprang, sich Flussabwärts treiben lies und sich dann das Fenster hoch zu ihrem Bruder zog, tat es ihr nach und wurde alsbald von den neugierig von den Geschwistern beäugt. Ich sah mich um. Hinter dem Fenster lag ein verfallener kleiner Raum. Ein altes Motorad stand in der Ecke und ein Durchgang ohne Tür schien in weitere Räume zu führen. Die Geschwister waren beide in Schwarz gekleidet und trugen umhänge. Ich erklärte Ihnen das ich mich vor meiner Familie (welche inzwischen nicht mehr Edward und Bella sondern die Eltern von der Adams Famile waren), verstecken musste und fragte sie ob sie mir bei der Flucht helfen konnten. Der Bruder nahm den Auftrag an und im selben Moment fuhren meine Eltern auf einem schwebenden Motrorrad über den Fluss, am Fenster vorbei, entdeckten mich aber nicht.   Von da an war ich mit dem Bruder unterwegs.   Nachdem wir den Urwald durchquert hatten, und uns nicht selten im Unterholz verstecken mussten wenn uns plötzlich Motarradgeräusche entgegen kamen, landeten wir auf einer Pferdefarm.   Den Urwald in der Ferne noch erahnbar standen wir nun in der Wüste. Vor uns ein eingezäunte sand Koppel, an den Rändern Boxen mit Pferden. Ganz vorne standen zwei Menschen in bunter Kleidung und machten Yoga und Tanzübungen vor, welche von den Pferden, die für die meisten Übungen auf zwei Beinen standen, eifrig nachgemacht wurden. Neben mir stand nun eine Frau und erklärte mir das dies besonders gut für die Pferde sei und Teil ihres Geschäftskonzeptes. Ich fragte sie nach Unterkunft und sie bot uns ein Zimmer an unter der Bedingung das wir kurz halfen die Tanz/Yoga Runde anzuleite. Die Übungen mussten nämlich möglichst abwechslungsreich sein damit die Pferde sich nicht langweilten und weiter fleißig mit machten.   Also zappelte ich mir einen ab, was mir große Freude bereitete, wurde anschließend abgelöst und begann aus dem Publlikum mit den Pferden und meiner Reisebegleitung weiter zu tanzen. Irgendwann fing mein Begleiter an mich im Kreis zu spinnen und die Pferde bildeten einen klatschenden Ring um uns (hier wunderte ich mch kurz das ich so viele pirouetten drehen konnte ohne das mit schlecht wurde und dachte daran wie verwirrt meine Eltern wären wenn sie mich jetzt sehen könnten. Schließlich war ich nicht weggelaufen um nie wieder zu ihnen zurück zu kehren, sondern um rauszufinden warum sie nicht wollten, dasss ich unbeobachtet in der Welt herumlief.)  Anschließend fielen mein Begleiter und ich zu Boden und machten ein paar Fotos, von uns und von den Geschehenissen um uns herum. Als ich wieder aufstand flog mir aus der Ecke einer Spinne ins Gesicht, welcher ich versuchte auszuweichen, die allerdings fliegen konnte und fest davon überzeugt war in meinem Gesicht zu landen. Eine der Trainerin rief mir zu kurz rauszurennen und die Spinne dort loszuwerden. Ich drehte mich um und rannte zum Ende der Koppel, sah kurz über meine Schulter zu den anderen zurück, sah aber statt ihnen nur die Haustür meines (echten) Vaters, die Spinnen flog an mir vorbei und klatschte gegen das Hausflurfenster. Ich nutzte den Moment um die letzten Tage Revue passieren zu lassen und stellte fest das ich anfing mich in meine Begleitung zu verlieben. Dann checkte ich Instagram und sah das er ein Video von uns in seiner Insta Story gepostet hatte. Kurz wollte ich mich darüber beschweren, dass ich nicht markiert wurde, merkte dann aber das dies reichlich dumm wäre da mich meine Eltern ja nicht finden dürften. Ich sah mir das Video nochmal genauer an und stellte fest das meine Begleitung mein (echter) Beziehungsmensch war und freute mich. Als ich wieder bereit dazu war reinzugehen und die Tür öffnen wollte, klingelte mein Wecker.",1698386100,2,1,7,38,19,13,8,2,7,3,0,15,0,1,0,5,0,0,4,20,0,1053,27.7105263157895,5.42857142857143,7,5,"2023-10-27",6.85714285714286,7,1,1.14285714285714,58.5714285714286,17.8571428571429,5,4,0.377964473009227,0,0,0.377964473009227,51.7779140266618,36.7533607144914,1.4142135623731,0,1,0.5,0.684210526315789,0.342105263157895,0.447999999999999,0.0526315789473684,0.368421052631579,0.184210526315789,0.714285714285714
"3","KR04SB","2023-10-28",2,-77,-77,"-66",1698472860,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-28",4.71428571428571,6.71428571428571,1.14285714285714,2.57142857142857,85.7142857142857,75.7142857142857,6.71428571428571,3.78571428571429,1.97604704011871,0.755928946018455,0.377964473009227,1.81265393434993,24.3975018237133,19.3366171267045,0.487950036474267,0.224933852710609,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","KR04SB","2023-10-29",2,-77,-77,"-66",1698584700,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-29",6.28571428571429,7,1,1.85714285714286,71.7142857142857,34.4285714285714,5.28571428571429,4.03571428571429,0.755928946018455,0,0,0.377964473009227,36.7999741200737,39.2464739089477,1.25356634105602,0.172516389835589,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","KR04SB","2023-10-30",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-30",5.5,4.83333333333333,2.5,2.5,100,100,6.83333333333333,3.83333333333333,2.34520787991171,2.71416039810964,2.34520787991171,2.34520787991171,0,0,0.408248290463863,0.683130051063973,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"6","KR04SB","2023-10-31",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-31",7,5,1,1,100,100,7,3.5,0,3.46410161513775,0,0,0,0,0,0.866025403784439,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"7","KR04SB","2023-11-01",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-01",7,7,1,1,100,100,7,4,0,0,0,0,0,0,0,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"8","KR04SB","2023-11-02",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-02",7,7,1,1,100,75,6.25,4,0,0,0,0,0,50,1.5,0,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"9","KR04SB","2023-11-03",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-03",7,7,1,1,100,100,6.57142857142857,4,0,0,0,0,0,0,1.13389341902768,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"10","KR04SB","2023-11-04",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-04",6.57142857142857,7,1,1.42857142857143,27.8571428571429,21.1428571428571,5.71428571428571,4,0.534522483824849,0,0,0.534522483824849,42.7021801606919,21.4353957387353,1.60356745147455,0,1,NA,NA,NA,NA,NA,NA,NA,NA
