"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","KT07HN","2023-10-21",1,2,4,"Irgendwie ging es ums renovieren vom Haus meiner Großeltern. An den Anfang kann ich mich nicht mehr erinnern, war aber irgendwie komisch.   Ich habe oft träume von deren Haus und Garten. Ich kann mich aber nur dran erinnern, dass wir dann bei ihnen auf der Terrasse ein Sonnensegel anbringen wollten. Eigentlich haben sie sogar schon eins, aber die Terrasse sah etwas anders aus als  in Echt . Das hatte dann sogar schon gehalten. Wir wollten es aber noch weiter ausfahren, weil die Sonne meine Cousine immernoch geblendet hat. Allerdings ist dabei das ganze Sonnensegel heruntergefallen und hat uns unter sich begraben. Wir haben es aber alle mit Humor genommen und beschlossen am nächsten Tag im Baumarkt etwas für eine bessere Befestigung zu kaufen.   Nun gingen auch schon die Vorbereitungen für's abendliche Grillen los. Es wurden Gartentische zu einer Tafel gestellt und der Tisch gedeckt. Mein Ex war dabei verschiedene Dips zu machen. Ich hatte ihn von hinten umarmt und aufs T-Shirt geküsst, als er meinte, dass ich sein weißes T-Shirt nicht mit Flecken voll machen solle, da war es aber schon zu spät. Ich glaube ich hatte kurz davor etwas gegessen, sah rötlich aus. War aber nicht schlimm, es hat sich niemand dafür interessiert. Ich war ganz happy, dass er dabei war.   Als wir dann gegessen haben hat sich mein Opa Mütterlicherseits darüber geärgert, dass eine anscheinend gute Freundin/Bekannte von ihm nicht über die Telefonnummer erreichbar ist, die er von ihr neuerdings hat. Es ging dann kurz darum, dass alle eventuelle Fehler finden wollten. Telefonnummer nicht richtig eingespeichert und so weiter. Und dann meine mein Opa noch, dass er ja so von meiner Oma abhängig sei, weil er mit dem Handy meiner Oma die Frau anrufen solle. (Meine Oma hat ein Touchhandy, mein Opa nur ein Tastenhandy. Das war aber nie ein Problem, weil beide so sehr gut zurecht kommen. Allerdings hat mein Opa Väterlicherseits den Wunsch geäußert, auch ein Handy zu bekommen, so wie seine Frau auch.)  Es ging dann jedenfalls weiter, direkt vor mir stand ein Brotkorb. Zuerst hatte ich aber Baguettescheiben in Form von Salatblättern. Diese wollte ich meinem Ex, der mit mir auf einer kurzen selbstgebauten Holzbank saß, geben. Er sollte da etwas von seinem Aufstrich reinmachen, weil durch die Blattform viel freier Platz zum Befüllen war. Und ich glaube das war Schocko-Knoblauch Aufstrich. Ansonsten gab es auch andere mehr in Richtung von Kräuterbutter. Und auf meinem Teller lagen haufenweise Eierschalen, ich war auch im Verlauf dabei gekochte Eier zu Essen. Jedenfalls hat sich der Brotkorb vor mir von diesen Baguette-Ähnlichen Broten zu normalen Brotscheiben geändert. Die lagen da hübsch aufgefächert im Korb und ich hatte mit meinem Ex zum Spaß gemeint, man könnte den Aufstrich da direkt über alles drüber streichen, dann könne sich jeder direkt Brot mit Aufstrich nehmen. Der Plan wurde allerdings nicht umgesetzt, stattdessen hat er angefangen Brote mit Butter zu beschmieren. Ab dem Moment saß er auch nicht mehr neben mir sondern mit gegenüber. Meine Oma war die erste, die sich direkt ein Butterbrot genommen hat. Allerdings verträgt sie Butter nicht mehr, isst es aber trotzdem noch öfter. In meinem Kopf wollte ich sie da direkt drauf aufmerksam machen, hab ich aber nicht laut ausgesprochen.   Dann ging es langsam dem Ende zu. Mein Ex hat gefragt, ob er mit mir nun rein gehen kann. Ich hab direkt Nein gesagt, das Essen war ja noch nicht mal zu Ende. Dann hat meine Cousine oder ihr Freund die selbe Frage nochmal Laut gestellt und es war okay für die anderen. Also wurde nun aufgeräumt. Irgendwie war ich aber noch gar nicht fertig, mein Teller war aber hauptsächlich voll mit Eierschalen. Und meine Tante hat dann meinen Teller nach kurzem Fragen stehen gelassen und nur den Rest erstmal weggeräumt.   Dann hab ich noch gesehen, wie eine Frau mit ihrer Tochter einen Teller Fischstäbchen oder was ähnliches im Teigmantel bekommen hatte und die Ausfahrt hoch ist. Ich kannte die beiden nicht, die Frau hat sich jedenfalls sehr beeilt, wieder runter vom Grundstück zu kommen.   Dabei waren die Familie Väterlicherseits und meine anderen beiden Großeltern. Dann noch der Freund von meiner Cousine (den ich auch schon kenne) und der Freund von meiner Tante (sie ist seit Jahren schon allein und will jetzt langsam wieder mit Dating anfangen, hat aber keinen Freund aktuell) und eben auch mein Ex (war aber so kurz, dass ich ihn nichtmal meiner Familie vorgestellt hatte)  Irgendwo zwischen drinnen hat mein Opa, der in diesem Haus normalerweise auch wohnt, gemeint, dass ja jetzt noch ein Gästehaus daneben gebaut werden sollte, so schön wie es hier ist.   Das war's dann auch schon. Hat wahrscheinlich etwas damit zu tun, dass meine Cousine das Haus meiner Großeltern später wirklich mal übernehmen möchte. Allerdings ist das, wenn überhaupt, ein Plan für frühestens in Zehn Jahre. ",1697862840,1,1,5,21,17,13,9,4,8,10,0,1,0,5,0,0,0,0,15,1,0,799,38.0476190476191,4.2,5,5,"2023-10-20",6.28571428571429,6.71428571428571,1,1.42857142857143,47.8571428571429,30.5714285714286,6,3.85714285714286,0.755928946018455,0.755928946018455,0,0.786795792469443,42.5105029039043,41.4883804731604,0.816496580927726,0.196698948117361,1,0.80952380952381,0.764705882352941,0.619047619047619,0.294392523364486,0.19047619047619,0.470588235294118,0.380952380952381,1
"2","KT07HN","2023-10-22",1,2,3.5,"Ich hab geträumt, dass ich im Supermarkt einkaufen war. Ich wollte wohl was zum Abendessen kaufen und hab mir alles genau angeschaut. Den Supermarkt kenne ich aus meinen Träumen schon, er hat vergleichsweise viele Gefriertruhen und Kühlschränke mit Glastüren. (Kenne ihn gut und erkenne ihn an diesen Merkmalen, hat aber kaum etwas mit realen Orten zu tun, die ich kenne.) Eigentlich ist so gut wie alles eingefroren. Es gab sehr teures Eis. 40 Stück am Stiel in einer Packung. Daneben lagen aber auch die Standard Markenrissorten. Neben dem Eis gab es auch ein Fach für eingefrorene Burger. Die waren nicht verpackt und lagen einfach in dieser Kühltruhe. Dann gab es viel Fisch und Garnelen eingefroren. Daneben auch lebendigen Fisch, wie es ihn sonst nur im Großhandel gibt. Ich bin dann also weiter gegangen und kam zu dem mir sehr gut bekannten Teeregal. Das ist in meinem Traum-Supermarkt mehrere Kühlschränke groß und bis oben hin gefüllt mit verschiedenen Teesorten. Da wollte ich mir eigentlich einen raus suchen. Im Gefrierfach hinter mir lagen auch Teesorten, das waren die, zwischen denen ich mich zuletzt für einen Tee entschieden habe.   Ich ging aber weiter. Der nächste Seitengang war voll mit Süßigkeiten. Es gab weiter vorn schon ein Regal mit heruntersetzten Süßigkeiten. Da war nicht mehr viele übrig, nur ein paar große Tüten Bonbons und so. Und in diesem Seitengang war die Auswahl auch nicht viel besser. Es gab für zwei Euro zusammengewürfelte Päckchen, in denen zum Beispiel Schokoweinachtsmänner am Stiel eingepackt waren. Das hab ich mir genauer angeschaut, war aber nicht weiter interessiert. Dann kam aber ein kleiner Junge in den Gang und hat sich eins ausgesucht, was ich gerade in der Hand hatte. Ich hab ihm das weitergegeben aber es mir vorher noch genau angeschaut, weil er meinte, dass da seine Lieblingssüßigkeit drinnen ist. Das war Schokolade am Stiel mit Zuckerperlen dran.   Dann bin ich weitergegangen richtig Gemüseabteilung. Der kleine Junge hat mich dann gefragt, wo er frische Hefe finden kann. Konnte ich ihm aber nicht genau sagen. Dann haben sich zwei Männer im Gang irgendwie geprügelt. Da erinnere ich mich allerdings nicht mehr an den Kontext, weil ich wach wurde.     Vorher habe ich noch etwas anderes geträumt. Irgendwie war ich im Weltall unterwegs in einem Miniraumschiff und es gab irgendwie streit mit anderen Raumschiffen und der Aufgabe, die wir erfüllen sollten. Ich weiß allerdings nur, dass ich zusammen mit einem Gesteinsbrocken auf der Erde gelandet bin und ausgestiegen bin. Dort hab ich mich erstmal kurz umgeschaut, ich sollte aber glaube eigentlich wieder los fliegen. Und dann bin ich zurück in meine Blechdose geklettert. Die war wirklich wie eine Dose und nur so groß, dass ich grade so reingepasst habe.     Ich habe mich bei beiden Träumen normal gefühlt. Es war zwar auch etwas hektisch, aber nicht weiter wild. Ich kannte niemanden von den anwesenden Personen. Mittagsschlaf    Ich habe geträumt, dass ich in der Welt von Micky Mouse unterwegs war. Ich sollte wohl in das Haus von ihm und habe mich dafür mit einem T-Shirt als Minimouse verkleidet. Ich bin dann mit ein paar Leuten (keine Ahnung, wer genau. Andere Leute aus dem Universum) zu seinem Haus geflogen, teils auch gelaufen. Es ging über Hügel mit vielen einzelnen Bäumen drauf. Als Wald kann man das noch nicht bezeichnen. Als ich dann bei dem Haus ankam war alles sehr ruhig und verlassen. Wir haben darüber geredet, ob es Wachhunde gibt.   Irgendwie habe ich mich dann mit Goofie zusammen an einen Picknicktisch gesetzt und er hatte eine Packung Pommes und Käsesticks dabei. Er hatte davon ein paar auf zwei Teller gelegt, ich habe daraufhin die Tüte auf beide Teller verteilt bis die leer war. Dazu gab es Pesto in diesen Mini-Ketchup-Verpackungen eingeschweißt. Da war aber eigentlich gar nichts drinnen.   Dann hab ich mich auf den Rückweg gemacht, ich bin wieder die meiste Zeit geflogen. Einfach Gleitflug ohne Hilfsmittel oder so. Und musste diesmal sehr aufpassen, dass mein Teller mit dem Essen nicht herunter fällt. Wir kamen dann zu einer großen Straße, die auch in unsere Richtung ging und da lag Micky. Er war tot, bestand aber eher aus Wackelpudding als aus Maus. Wir haben direkt in die Asphaltstraße ein Loch gebuddelt, Micky darin beerdigt und es mit Sand wieder zugeschüttet. Dann war der Traum auch schon zu Ende.",NA,2,2,4,16,3,3,1,1,3,0,0,3,0,0,0,0,0,0,0,3,0,472,29.5,4,2,2,"2023-10-21",6.85714285714286,7,1,1,93.8571428571429,74.1428571428571,6.71428571428571,3.96428571428571,0.377964473009227,0,0,0,16.2524723393968,28.4512950579792,0.487950036474267,0.0944911182523068,1,0.1875,1,0.1875,0.0134874759152216,0.0625,1,0.1875,0.5
"3","KT07HN","2023-10-22",1,2,3.5,"Ich hab geträumt, dass ich im Supermarkt einkaufen war. Ich wollte wohl was zum Abendessen kaufen und hab mir alles genau angeschaut. Den Supermarkt kenne ich aus meinen Träumen schon, er hat vergleichsweise viele Gefriertruhen und Kühlschränke mit Glastüren. (Kenne ihn gut und erkenne ihn an diesen Merkmalen, hat aber kaum etwas mit realen Orten zu tun, die ich kenne.) Eigentlich ist so gut wie alles eingefroren. Es gab sehr teures Eis. 40 Stück am Stiel in einer Packung. Daneben lagen aber auch die Standard Markenrissorten. Neben dem Eis gab es auch ein Fach für eingefrorene Burger. Die waren nicht verpackt und lagen einfach in dieser Kühltruhe. Dann gab es viel Fisch und Garnelen eingefroren. Daneben auch lebendigen Fisch, wie es ihn sonst nur im Großhandel gibt. Ich bin dann also weiter gegangen und kam zu dem mir sehr gut bekannten Teeregal. Das ist in meinem Traum-Supermarkt mehrere Kühlschränke groß und bis oben hin gefüllt mit verschiedenen Teesorten. Da wollte ich mir eigentlich einen raus suchen. Im Gefrierfach hinter mir lagen auch Teesorten, das waren die, zwischen denen ich mich zuletzt für einen Tee entschieden habe.   Ich ging aber weiter. Der nächste Seitengang war voll mit Süßigkeiten. Es gab weiter vorn schon ein Regal mit heruntersetzten Süßigkeiten. Da war nicht mehr viele übrig, nur ein paar große Tüten Bonbons und so. Und in diesem Seitengang war die Auswahl auch nicht viel besser. Es gab für zwei Euro zusammengewürfelte Päckchen, in denen zum Beispiel Schokoweinachtsmänner am Stiel eingepackt waren. Das hab ich mir genauer angeschaut, war aber nicht weiter interessiert. Dann kam aber ein kleiner Junge in den Gang und hat sich eins ausgesucht, was ich gerade in der Hand hatte. Ich hab ihm das weitergegeben aber es mir vorher noch genau angeschaut, weil er meinte, dass da seine Lieblingssüßigkeit drinnen ist. Das war Schokolade am Stiel mit Zuckerperlen dran.   Dann bin ich weitergegangen richtig Gemüseabteilung. Der kleine Junge hat mich dann gefragt, wo er frische Hefe finden kann. Konnte ich ihm aber nicht genau sagen. Dann haben sich zwei Männer im Gang irgendwie geprügelt. Da erinnere ich mich allerdings nicht mehr an den Kontext, weil ich wach wurde.     Vorher habe ich noch etwas anderes geträumt. Irgendwie war ich im Weltall unterwegs in einem Miniraumschiff und es gab irgendwie streit mit anderen Raumschiffen und der Aufgabe, die wir erfüllen sollten. Ich weiß allerdings nur, dass ich zusammen mit einem Gesteinsbrocken auf der Erde gelandet bin und ausgestiegen bin. Dort hab ich mich erstmal kurz umgeschaut, ich sollte aber glaube eigentlich wieder los fliegen. Und dann bin ich zurück in meine Blechdose geklettert. Die war wirklich wie eine Dose und nur so groß, dass ich grade so reingepasst habe.     Ich habe mich bei beiden Träumen normal gefühlt. Es war zwar auch etwas hektisch, aber nicht weiter wild. Ich kannte niemanden von den anwesenden Personen. Mittagsschlaf    Ich habe geträumt, dass ich in der Welt von Micky Mouse unterwegs war. Ich sollte wohl in das Haus von ihm und habe mich dafür mit einem T-Shirt als Minimouse verkleidet. Ich bin dann mit ein paar Leuten (keine Ahnung, wer genau. Andere Leute aus dem Universum) zu seinem Haus geflogen, teils auch gelaufen. Es ging über Hügel mit vielen einzelnen Bäumen drauf. Als Wald kann man das noch nicht bezeichnen. Als ich dann bei dem Haus ankam war alles sehr ruhig und verlassen. Wir haben darüber geredet, ob es Wachhunde gibt.   Irgendwie habe ich mich dann mit Goofie zusammen an einen Picknicktisch gesetzt und er hatte eine Packung Pommes und Käsesticks dabei. Er hatte davon ein paar auf zwei Teller gelegt, ich habe daraufhin die Tüte auf beide Teller verteilt bis die leer war. Dazu gab es Pesto in diesen Mini-Ketchup-Verpackungen eingeschweißt. Da war aber eigentlich gar nichts drinnen.   Dann hab ich mich auf den Rückweg gemacht, ich bin wieder die meiste Zeit geflogen. Einfach Gleitflug ohne Hilfsmittel oder so. Und musste diesmal sehr aufpassen, dass mein Teller mit dem Essen nicht herunter fällt. Wir kamen dann zu einer großen Straße, die auch in unsere Richtung ging und da lag Micky. Er war tot, bestand aber eher aus Wackelpudding als aus Maus. Wir haben direkt in die Asphaltstraße ein Loch gebuddelt, Micky darin beerdigt und es mit Sand wieder zugeschüttet. Dann war der Traum auch schon zu Ende.",NA,2,1,3,14,9,9,9,1,1,0,2,7,0,0,0,7,0,0,0,16,0,246,17.5714285714286,4.66666666666667,3,3,"2023-10-21",6.85714285714286,7,1,1,93.8571428571429,74.1428571428571,6.71428571428571,3.96428571428571,0.377964473009227,0,0,0,16.2524723393968,28.4512950579792,0.487950036474267,0.0944911182523068,1,0.642857142857143,1,0.642857142857143,0.121387283236994,0.0714285714285714,0.111111111111111,0.0714285714285714,1
"4","KT07HN","2023-10-23",2,-77,-77,"-66",1698064860,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-22",6.14285714285714,6.85714285714286,1.28571428571429,1.57142857142857,85.5714285714286,46.8571428571429,6.71428571428571,3.96428571428571,0.899735410842437,0.377964473009227,0.487950036474267,1.13389341902768,35.1845474740316,28.8064146295495,0.487950036474267,0.224933852710609,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","KT07HN","2023-10-24",1,2,2,"Ich weiß nicht genau, wovon ich geträumt habe. Aber ich war in einer Art Keller und hab versucht abzuhauen. Es war auch eine Person bei mir, ich kann mich aber nicht erinnern, wer. Es war alles etwas wie im Krieg und ich hab mich sehr unwohl gefühlt. Ich kann mich an nichts genaueres erinnern. ",1698126540,4,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,54,54,1,1,1,"2023-10-23",6,6.71428571428571,1,1.57142857142857,16.8571428571429,5.14285714285714,6.28571428571429,3.82142857142857,1.15470053837925,0.487950036474267,0,0.975900072948533,27.485927135103,8.25486869325352,0.951189731211342,0.121987509118567,1,1,1,1,0.194444444444445,0,0,0,1
"6","KT07HN","2023-10-25",1,2,3,"Ich habe geträumt, dass ich mit ein paar Leuten auf einem Berg war. So wie beim Campen, aber auch nicht richtig. Wir sollten uns auf den Weg machen und irgendwas holen. Dafür sind wir mit Rollbrettern einen sehr schmalen Weg runter gefahren. Dabei waren mindestens meine Mutter, Tante, Cousine, Cousin und Schwester. Anfangs war der Weg nur etwas holprig und ab und zu mit Ästen überwachsen. Dann kamen aber Regionen, wo auf beiden Seiten Brennesseln wuchsen oder der Weg halb verwittert und weg war. Es war ziemlich eng und wir sind uns gegenseitig immer mal reingefahren. Dann kam noch eine Teilstrecke, wo über dem Weg direkt Steine waren, sodass man nur sehr wenig Platz hatte und liegen musste. Ich hatte das Gefühl, dass ich die Strecke kannte. Vielleicht hab ich davon schonmal geträumt. ",1698208320,5,1,1,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,22.1666666666667,6,1,1,"2023-10-24",7,7,1,1,66.5714285714286,52.1428571428571,7,4,0,0,0,0,37.6911003768668,43.5715066353711,0,0,1,0.666666666666667,1,0.666666666666667,0.0767123287671233,0,0,0,1
"7","KT07HN","2023-10-26",2,-77,-77,"-66",1698298200,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-25",6.71428571428571,7,1,1.14285714285714,91.5714285714286,46.8571428571429,7,3.96428571428571,0.755928946018455,0,0,0.377964473009227,14.5356704106042,20.780027040635,0,0.0944911182523068,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","KT07HN","2023-10-27",2,-77,-77,"-66",1698388260,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",7,7,1,1.14285714285714,92.8571428571429,80,7,4.03571428571429,0,0,0,0.377964473009227,18.8982236504614,24.9131825880731,0,0.0944911182523068,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","KT07HN","2023-10-28",2,-77,-77,"-66",1698473460,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-27",6.85714285714286,7,1,1.71428571428571,74.8571428571429,39.7142857142857,7,4.14285714285714,0.377964473009227,0,0,1.25356634105602,42.9434844550702,42.0583494909722,0,0.243975018237133,1,NA,NA,NA,NA,NA,NA,NA,NA
"10","KT07HN","2023-10-29",1,2,4,"Ich war bei einem Filmdreh und der Kameramann oder neben dem Kameramann. Es wurden dann ein paar Szenen gedreht, das war aber nicht weiter relevant. Eine Frau vom Filmset hat dann nach dem Dreh ihrem Freund/Mann gesagt, dass sie Schwanger ist. Sie haben beide als Schauspieler am Set gearbeitet. Die Frau hatte den Schwangerschaftstest da liegen und ein Päckchen darunter. Da haben schon Babyschuhe raus geschaut, wie als ob sie damit das Geschlecht präsentieren wollte. Jedenfalls hat der Mann nicht ganz richtig ausgepackt und es war alles etwas komisch, irgendwo da ist eine Zeitschrift für eine Sportshow hergekommen, jedenfalls hab ich die dann bekommen und da waren zwei Tickets für diese Show drinnen. Wahrscheinlich waren die für das Pärchen gedacht gewesen, keine Ahnung, warum ich die dann hatte.   Ich bin dann also mit meiner Schwester zusammen zi dieser Show gegangen, wir waren recht zeitig da und haben uns sehr weit vor setzen können. Wir haben uns allerdings gewundert, dass niemand unsere Tickets sehen wollte. Dann ging es los, ein Typ vor der Bühne hat mit ein paar anderen Leuten auf der Bühne geredet. Die auf der Bühne standen hinter einem gemeinsamen großen Pult. Komischerweise hatte das Mädchen ganz Links genau die gleichen kleinen schwarzen Ohrringe wie der Typ neben ihr. Und daneben stand noch ein Typ, der sehr sehr viel Ähnlichkeit mit dem Mädchen ganz Links hatte, als wären sie Zwillinge. Daneben standen noch ein oder zwei weitere Personen.   Nach diesem Interview gab es eine kleine Pause. In dieser Pause hat der Moderator Phillip Amthor gesehen, der gerade die Treppe hoch gekommen ist. Er hat ihn ausgefragt, wie sein Liebesleben aktuell so läuft und Amthor hat eher missmutig reagiert. Der Moderator hat dann eine Frau  auf der Treppe angesprochen, ob sie sich eine Beziehung mit Amthor vorstellen könnte. Sie hat das Abgelehnt und ist direkt auf der Treppe umgedreht und gegangen, während sie eindeutig unzufrieden bis angeekelt von der Frage war.  Amthor lag nun traurig auf der Treppenstufe und hat sich schlafend gestellt. Es wurde dann noch eine weitere Frau aus dem Publikum gefragt, die auch nicht begeistert war. Dann hat sich aus der letzten Ecke des Saals ein Mann gemeldet, der meinte, dass er rein gar nichts sieht und auch nicht weiß, was gerade passiert, er sich aber dafür interessieren würde. Der Moderator fragte nun Phillip, ob er sich etwas mit diesem Mann vorstellen könnte. Er stöhnte auf und war von der Situation sichtlich genervt. Nun legt sich der Moderator auf die Stufe unter Amthors und drückt auf einen Knopf. Die Stufen fuhren nun auseinander und auch die Stühle im Saal bewegten sich. Die von mir und meiner Schwester bewegten sich ganz nach hinten in den Saal. Allerdings war die Bühne vorn und ganz oben, wir hatten also fast keinen Blick mehr auf diese. Die Frau und das kleine Mädchen, die vorher neben uns gesessen hatten, saßen nun links und rechts von uns. Als ich mich gerade mit meiner Schwester unterhalten wollte, wie wenig man sieht, hat sie sich bei mir beschwert, dass ich doch leise sein sollte. Wenigstens auf den Chor und das Orchester hatte man nun einen guten Blick, die Vorstellung ging los. Vor uns hatte sich irgendwie eine neue Bühne gebildet, auf der fingen nun ein paar Kinder an Inliner zu fahren. Ein Mädchen in langem Kleid fuhr gerade rückwärts die Wand auf der anderen Seite hoch und mache dann einen Rückwärtssalto. Das war schon sehr krass. Allerdings gelang ihr die Landung nicht und sie landete eher auf ihren Knien als auf ihren Inlinern. Sie stand aber schnell wieder auf, schien also nicht groß verletzt zu sein. Nun fuhr sie die nächste Runde, bekam aber ihr Kleid unter die Rollen. Komischerweise machte ihr das gar nichts aus und es war so, als würde sie gar nicht auf ihrem Kleid fahre.  Am Anfang waren noch ein paar Leute in Reiterkleidung auf dem Weg zur Bühne gewesen, allerdings bin ich nun aufgewacht, bevor die Show weiter gehen konnte.     Insgesamt war es ein schöner Ausflug mit meiner Schwester. ",1698569580,9,1,5,23,17,9,6,6,9,2,5,11,2,0,0,3,1,1,2,19,3,673,29.2608695652174,4.6,5,4,"2023-10-28",6.66666666666667,6.83333333333333,1,1.33333333333333,83.3333333333333,78.5,6.83333333333333,3.95833333333333,0.516397779494322,0.408248290463863,0,0.816496580927726,40.8248290463863,39.5663998867726,0.408248290463863,0.102062072615966,0.857142857142857,0.739130434782609,0.529411764705882,0.391304347826087,0.0764331210191083,0.260869565217391,0.529411764705882,0.391304347826087,0.8
