"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","MH03GZ","2023-10-19",1,2,2,"Ich hatte Besuch bei mir zuhause. Auf der Couch gegenüber von mir saß ein Schauspieler und wir unterhielten uns bei einer Tasse Tee. Worum es ging, weiß ich nicht mehr. Als er aber in Bad ging, wurde er erschossen. Den Mörder konnte ich nicht erkennen. Dann bin ich aufgewacht. ",1697703780,1,1,1,3,2,2,1,1,2,0,2,1,0,0,0,0,0,0,0,3,0,49,16.3333333333333,3,1,1,"2023-10-17",5.66666666666667,6.33333333333333,1.66666666666667,2.33333333333333,84,69.6666666666667,6.66666666666667,4,0.577350269189626,0.577350269189626,0.577350269189626,0.577350269189626,16,40.2533642486356,0.577350269189626,0,0.428571428571429,0.666666666666667,1,0.666666666666667,0.0143540669856459,0.333333333333333,1,0.666666666666667,1
"2","MH03GZ","2023-10-20",2,-77,-77,"-66",1697777220,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-18",6.25,6.75,1.25,1.75,29.25,46.75,5.5,4,0.957427107756338,0.5,0.5,0.957427107756338,32.2838969147159,53.1875612024716,1.73205080756888,0,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"3","MH03GZ","2023-10-21",1,2,3,"Ich habe keine Details mehr vor Augen. Ich habe mich aber mit einer Freundin gestritten und wir haben uns entschieden, getrennte Wege zu gehen. ",1697861340,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,24,24,1,1,1,"2023-10-19",5.75,7,1,2.25,5.25,8.25,3.5,4,1.25830573921179,0,0,1.25830573921179,10.5,16.5,0.577350269189626,0,0.571428571428571,1,1,1,0.121212121212121,1,1,1,1
"4","MH03GZ","2023-10-22",1,2,3,"Ich war auf einer Geburtstagsfeier im Asta-Keller, auf der ich mich nicht willkommen fühlte. Mir begrüßte keine Person und keine Grüppchen ließen mich an den Konversationen teilhaben. Dann bin ich nach Hause gegangen.  ",1697964360,4,1,2,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,33,16.5,1,2,1,"2023-10-20",6.5,7,1,1.25,77.25,25,4.5,3.9375,1,0,0,0.5,45.5,50,1,0.125,0.571428571428571,0.5,1,0.5,0,0,1,0.5,0.5
"5","MH03GZ","2023-10-23",2,-77,-77,"-66",1698039660,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-21",4.66666666666667,7,1,3,100,100,4.66666666666667,3.91666666666667,1.52752523165195,0,0,1,0,0,2.08166599946613,0.144337567297406,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"6","MH03GZ","2023-10-24",2,-77,-77,"-66",1698125220,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-22",3.75,5.5,2.5,4.5,8.25,26,2.25,4.0625,1.25830573921179,1.91485421551268,1.91485421551268,1,16.5,49.3693562175296,0.957427107756338,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"7","MH03GZ","2023-10-25",1,2,3,"Ich bin in meinem Traum aufgewacht und hatte bemerkt, dass ich ein Seminar verpasst hatte, weil ich mir meinen Stundenplan nicht richtig gemerkt hatte. An jenem Tag waren auch meine Eltern zu Besuch und deshalb ging ich nicht in die Uni. Am Abend davor war ich mit meinen Freunden auf einer Party und am Tag danach luden sie sich einfach selbst bei mir ein und wir aßen mit meinen Eltern gemeinsam auf ihrem Balkon Pizza. Diese hatten wir ursprünglich nur für drei Personen gemacht, aber wir teilten sie dann unter uns allen auf. Im Hintergrund lief eine Serie, in der es darum ging, dass sich zwei Freunde in ein Mädchen verliebt hatten. Sie liebte einen von ihnen zurück, aber wollte aus Rücksicht zum anderen Jungen nicht mit ihm ausgehen. ",1698216540,7,1,4,4,3,2,2,0,0,1,0,1,0,1,0,1,0,0,2,2,0,131,32.75,1,4,3,"2023-10-23",4,4.66666666666667,3.33333333333333,4,0,0,3.66666666666667,4,0.632455532033676,1.211060141639,1.211060141639,0.632455532033676,0,0,0.516397779494322,0,0.857142857142857,0.75,0.666666666666667,0.5,NA,0,0,0,0.75
"8","MH03GZ","2023-10-26",2,-77,-77,"-66",1698298260,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-24",4,5.5,2.5,4,0,0,4,4,0,0.707106781186548,0.707106781186548,0,0,0,0,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"9","MH03GZ","2023-10-27",1,2,3,"Ich weiß nur noch, dass ein Deutschrapper in meinem Traum war. ",1698390240,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,1,1,NA,"2023-10-25",4.33333333333333,5.33333333333333,2.33333333333333,3.66666666666667,32.6666666666667,55.6666666666667,4.33333333333333,3.91666666666667,0.577350269189626,1.15470053837925,1.52752523165195,0.577350269189626,42.7122152707318,50.9542278258962,0.577350269189626,0.144337567297406,0.428571428571429,0,NA,0,0,0,NA,0,NA
"10","MH03GZ","2023-10-28",2,-77,-77,"-66",1698504720,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",4.33333333333333,6.33333333333333,1.33333333333333,3.66666666666667,33.3333333333333,12.3333333333333,4.33333333333333,3.91666666666667,0.577350269189626,0.577350269189626,0.577350269189626,0.577350269189626,57.7350269189626,21.3619599600162,0.577350269189626,0.144337567297406,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"11","MH03GZ","2023-10-29",2,-77,-77,"-66",1698574800,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-27",4.33333333333333,7,1,3.66666666666667,0,2.33333333333333,4,4,0.577350269189626,0,0,0.577350269189626,0,4.04145188432738,0,0,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"12","MH03GZ","2023-10-30",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-28",5.5,7,1,2.5,33.5,3.5,4,4,0.707106781186548,0,0,0.707106781186548,47.3761543394987,4.94974746830583,0,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"13","MH03GZ","2023-10-31",2,-77,-77,"-66",1698732660,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-29",6,7,1,2,0,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA
