"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","NN01SS","2023-07-21",1,2,5,"1.Es ging darum wie man Unterrichts Maßnahmen mit  umgestalten kann und ich hab als beispiel dafür einen Teig angesetzt. Einen Freundin von mir hatte einen Schulabschnitt auf einem Boot verbracht und das als Vorschlag eingereicht. Wur sollten also irgendwie unseren eigenen Schulunnterricht mitgestalten .    2.wir hatten eine Wiese hinter unserem Haus. Auf diese hab ich hinaus geguckt währenddessen habe ich regelmäßig 2 Rehe und einen Wolf gesehen,  das war sehr friedlich und ich wollte schon immer mal wildlife direkt vor der Tür beobachten . Dann kam ein Mädchen mit einer riesigen Stute, die ich kurz festhalten sollte. Mich erinnerte sie an den sanften T Rex aus einem Film, sie war aber ganz brav uns konnte viele Tricks. Ich war sehr fasziniert von der wunderschönen und riesigen Stute, die so viel Sanftmut ausstrahlt. Dann habe ich mich noch mit dem Mädchen unterhalten .    ",1689918060,1,2,3,6,3,1,1,1,1,1,0,2,0,0,0,0,0,0,1,2,0,144,24,2,1.5,2,"2023-07-22",6,6.66666666666667,1,2,100,100,4.33333333333333,3.91666666666667,0,0.577350269189626,0,0,0,0,1.15470053837925,0.144337567297406,0.428571428571429,0.5,0.333333333333333,0.166666666666667,0.01,0.166666666666667,0.333333333333333,0.166666666666667,0.666666666666667
"2","NN01SS","2023-07-22",1,2,4,"  Ich war auf einer Party in der Schule und habe Zeit mit meinem Freund verbracht.  Es gab da eine besondere Aktion.  Später kamen dann Leute aus meiner alten Schule vorbei . Auch einer den ich früher gemocht hatte . Wir waren alle in einem Pool schwimmen . Dann redete ich später mit meiner Mutter über ein Geheimnis ",1690038360,2,1,3,5,4,3,3,1,1,4,0,0,0,2,0,0,0,0,6,0,0,57,11.4,1.66666666666667,3,3,"2023-07-23",6.75,7,1,1.25,100,100,5.5,4,0.5,0,0,0.5,0,0,0.577350269189626,0,0.571428571428571,0.8,0.75,0.6,0.03,0.2,0.25,0.2,1
"3","NN01SS","2023-07-23",1,2,3.5,"Heute Nacht hatte ich eher viele kleine nicht zusammenhängende Träume. In einem saß ich im Religionsunterricht der draußen stattgefunden hat. Im Hintergrund hatten sich Leute getroffen um zu tanzen was ich cool fand. Mein früherer bester Freund war auch in der Unterrichtsstunde. Ich musste mir Referate eintragen . Später nach dem Unterricht unterhielt ich mich mit jemandem. Danach wollte ich mit den anderen tanzen, dies war aber doch nicht so toll wie ich erwartet hatte.   Heute Nacht hatte ich eher viele kleine nicht zusammenhängende Träume. In einem saß ich im Religionsunterricht der draußen stattgefunden hat. Im Hintergrund hatten sich Leute getroffen um zu tanzen was ich cool fand. Mein früherer bester Freund war auch in der Unterrichtsstunde. Ich musste mir Referate eintragen . Später nach dem Unterricht unterhielt ich mich mit jemandem. Danach wollte ich mit den anderen tanzen, dies war aber doch nicht so toll wie ich erwartet hatte.",NA,3,1,2,5,3,1,1,0,0,2,0,0,3,2,0,0,2,0,4,0,5,75,15,2.5,2,2,"2023-07-24",7,7,1,1.33333333333333,93.3333333333333,73.3333333333333,6.33333333333333,4.08333333333333,0,0,0,0.577350269189626,11.5470053837925,24.7857485933617,0.577350269189626,0.144337567297406,0.428571428571429,0.6,0.333333333333333,0.2,0.0136363636363636,0,0,0,1
"4","NN01SS","2023-07-24",1,2,4,"Ich war schwanger und habe ein Kind bekommen . Alles kam etwas plötzlich und während gerade keiner zum helfen da war. Zudem war meine Katze noch krank und ich habe meinen Schulabschluss gefeiert. Es war aufm jeden Fall etwas viel von allem und etwas stressig , aber im Endeffekt ist alles gut ausgegangen ",1690220580,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,13.75,4,1,NA,"2023-07-25",6.66666666666667,7,1,1.33333333333333,94,88,6,4,0.577350269189626,0,0,0.577350269189626,10.3923048454133,11.13552872566,0,0,0.428571428571429,0,NA,0,0,0,NA,0,NA
"5","NN01SS","2023-07-25",1,2,4,"Ich habe mit meiner Familie an unserem Urlaub geplant. Davor war ich in einer Art Unterrichtsstunde an der Uni zum Thema weibliche Biologie und wir haben uns da über viele interessante Dinge unterhalten. Der Dozent hat mir später noch versucht etwas genauer zur Akupunktur zu erklären, bis 2 andere kamen",1690309380,5,1,2,4,4,3,2,1,2,1,1,0,2,1,0,0,1,1,2,1,3,52,13,2,2,2,"2023-07-26",7,7,1,1,94.3333333333333,95,6.33333333333333,4,0,0,0,0,8.9628864398325,8.66025403784439,0.577350269189626,0,0.428571428571429,1,0.75,0.75,0.0210526315789474,0.25,0.5,0.5,1
"6","NN01SS","2023-07-26",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-27",6.14285714285714,6.85714285714286,1.14285714285714,1.57142857142857,83.8571428571429,73.1428571428571,6.28571428571429,3.92857142857143,0.690065559342354,0.377964473009227,0.377964473009227,0.534522483824849,37.2935587442325,33.8940927568437,1.11269728052837,0.121987509118567,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","NN01SS","2023-07-27",1,1,1,"Ich hatte zuerst einen Klausurtermin auf den ich sehr schlecht vorbereitet war und den ich dann absagen musste. Dann stellte ich fest dass die Klausur irgendwie verschoben wurde. Zudem spielte sich im Hintergrund eine Story ab dass ich mit einem Typen der 3 Jahre jünger war als ich Sex gehabt hatte und auf einmal schwanger war. Von seinen Freunden die ich kaum kannte bekam ich volle Unterstützung als ich es meiner Mutter sagen wollte , weil ich noch nicht wusste was ich damit anfangen sollte. Ich war deswegen für ein paar Tage weggewesen. Ich wollte es ihr sagen doch da kam ich in den Garten und stellte fest dass meine Oma da ein totales Chaos angerichtet hat und einen Großteil meiner gesunden, wunderbaren Gemüse Pflanzen einfach weggemacht hat und ein totales durcheinander veranstaltet hat. Das hat mich rasend vor Wut gemacht weil sie es dieses Mal wirklich auf den Gipfel getrieben hat , ich bin ausgerastet und habe sie angeschrien, was sie dazu gebracht hat dass du zu tun. Dann stammelte sie irgendwelche Gründe , due aber überhaupt keinen Sinn ergaben und wirkte irgendwie aufgelöst, was für sie sehr untypisch ist , weil sie eigentlich in solchen Situationen eher abweisend wird und nicht traurig.  Ich habe sie weitet angeschrien und ihr verboten noch weiter etwas im Garten zu machen außer Rasen mähen und ein paar Töpfe zu bepflanzen und dann bin ich aufgewacht.       Ich hatte zuerst einen Klausurtermin auf den ich sehr schlecht vorbereitet war und den ich dann absagen musste. Dann stellte ich fest dass die Klausur irgendwie verschoben wurde. Zudem spielte sich im Hintergrund eine Story ab dass ich mit einem Typen der 3 Jahre jünger war als ich Sex gehabt hatte und auf einmal schwanger war. Von seinen Freunden die ich kaum kannte bekam ich volle Unterstützung als ich es meiner Mutter sagen wollte , weil ich noch nicht wusste was ich damit anfangen sollte. Ich war deswegen für ein paar Tage weggewesen. Ich wollte es ihr sagen doch da kam ich in den Garten und stellte fest dass meine Oma da ein totales Chaos angerichtet hat und einen Großteil meiner gesunden, wunderbaren Gemüse Pflanzen einfach weggemacht hat und ein totales durcheinander veranstaltet hat. Das hat mich rasend vor Wut gemacht weil sie es dieses Mal wirklich auf den Gipfel getrieben hat , ich bin ausgerastet und habe sie angeschrien, was sie dazu gebracht hat dass du zu tun. Dann stammelte sie irgendwelche Gründe , due aber überhaupt keinen Sinn ergaben und wirkte irgendwie aufgelöst, was für sie sehr untypisch ist , weil sie eigentlich in solchen Situationen eher abweisend wird und nicht traurig.  Ich habe sie weitet angeschrien und ihr verboten noch weiter etwas im Garten zu machen außer Rasen mähen und ein paar Töpfe zu bepflanzen und dann bin ich aufgewacht.    ",NA,7,1,3,10,4,3,1,1,3,4,0,0,0,1,0,0,0,0,5,0,0,239,23.9,3.33333333333333,3,2,"2023-07-28",6,7,1,1.33333333333333,99.6666666666667,77.3333333333333,6.66666666666667,3.83333333333333,1,0,0,0.577350269189626,0.577350269189626,17.7857620959388,0.577350269189626,0.288675134594813,0.428571428571429,0.4,0.75,0.3,0.0129310344827586,0.1,0.75,0.3,0.666666666666667
"8","NN01SS","2023-07-28",1,2,4,"  Ich hab in einer Art Teenie Serie aus den frühen 2000ern mitgespielt, ab der 2ten Staffel wo neue Charakgere hinzu kamen, weil ich gar nicht wirklich wusste worum es geht. Alles war in so leicht schlechter Qualität wie auf einem alten Fernseher und die Mädels liefen alle typisch 2000er rum mit Braids und Tshirts  über Langarmshirts.",1690556580,8,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,56,28,2,1,1,"2023-07-29",6,7,1,2,100,39.75,5.75,4,0.816496580927726,0,0,0.816496580927726,0,17.0758113521242,0.5,0,0.571428571428571,0.5,0,0,0,0,0,0,1
"9","NN01SS","2023-07-29",1,2,4,"Ich habe geträumt dass bei uns in der Schule ganz groß High School Musical (der Lieblingsfilm meiner Kindheit )aufgeführt wurde,  draußen mit sogar einem Gaststar. Irgendwie war auch ein Star meiner Kindheit da. Es war auf jeden Fall sehr unterhaltsam  ",1690637160,9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,40,40,1,1,1,"2023-07-30",6.8,7,1,1,57.6,69.6,6,3.95,0.447213595499958,0,0,0,46.1876606898423,42.5534957435931,1.22474487139159,0.111803398874989,0.714285714285714,1,0,0,0,0,0,0,1
"10","NN01SS","2023-07-30",1,1,2,"  Ich habe geträumt dass ich mich mit meinem  Exfreund getroffen habe. Wir haben uns zuerst in seiner neuen Wohnung getroffen , die nicht besonders toll war , und waren dann kurz draußen und sind dann mit dem Bus wieder zurück gefahren . Dann waren wir bei ihm . Ich wollte mit ihm eigentlich nur ein klärendes Gespräch führen, es war aber schwer da er offenscheknlich noch Interesse pflegte. Meinem Freund hatte ich von dem Treffen nichts erzählt und hatte deswegen ein schlechtes Gewissen. Ich versuchte es nochmal das Gespräch zu starten aber da bekam ich mit das meine Mutter auf dem Weg war mich abzuholen , obwohl ich ihr nichts gesagt hatte. Wir fuhren auf einem komischen Roller zurück und ich fuhr unerledigter Dinge nach Hause , wo mein Freund in Sorge und etwas wütend aufgrund der Unwissenheit auf mich wartete. Er hatte Angst ich wollte ihn betrügen und ich bemühte mich die Dinge klarzustellen und weinte viel . Am Ende vertrugen wir uns aber wieder.",1690696980,10,1,5,13,10,9,7,2,4,10,0,0,0,0,0,0,0,0,10,0,0,176,13.5384615384615,2.6,5,5,"2023-07-31",6,7,1,2,34.4,53.8,4.6,4,1.4142135623731,0,0,1.4142135623731,38.8432748361927,44.4994381987009,1.8165902124585,0,0.714285714285714,0.769230769230769,0.9,0.692307692307692,0.130111524163569,0.153846153846154,0.4,0.307692307692308,1
