"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","RZ12JN","2023-07-16",2,-77,-77,"-66",1689525960,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-15",6.75,6.75,1.75,1,99.5,94,7,4.0625,0.5,0.5,0.957427107756338,0,1,12,0,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"2","RZ12JN","2023-07-17",2,-77,-77,"-66",1689566460,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-16",6.5,6.5,1.5,1.5,74.75,72,7,4,0.577350269189626,0.577350269189626,0.577350269189626,1,35.8271312462125,35.5152549383125,0,0.204124145231932,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"3","RZ12JN","2023-07-18",1,2,3,"Der Ablauf in meinem Traum war etwas ohne richtige Reihenfolge, zumindest dass sie für mich ergeben würde so wie ich mich daran erinnere. Meine Schwester war da, sie machte mich darauf aufmerksam dass meine sich laden Zahnbürste kokelt, jedoch war hier kein Rauch zu sehen sondern es sprudelte auf ihr Zahnpasta. Ich nahm die Bürste und sagte dass es nicht sein kann, weil die nicht kaputt gehen kann. Ich war in einer Wahl des Kurses der eine Prüfung war, ich wollte dass es so ist wie es ist und dann wurde es geändert. Aber für mich war es trotzdem so gut als wäre es nicht geändert worden. Hier wäre weitere Personen die ich im Traum kannte aber nicht weis wer sie sind. Ich bekomme eine Knirschiene und sitze beim Zahnarzt. Der Kurs muss gewählt werden, doch es ändert sich ständig.",1689654120,3,2,4,7,3,3,1,1,3,2,0,0,1,0,0,0,0,1,2,0,1,140,20,1.75,2,2,"2023-07-17",6.66666666666667,6.66666666666667,1.33333333333333,1,54.6666666666667,57.3333333333333,5.66666666666667,3.91666666666667,0.577350269189626,0.577350269189626,0.577350269189626,0,50.6491197685935,37.2871738448134,2.3094010767585,0.144337567297406,0.428571428571429,0.428571428571429,1,0.428571428571429,0.0174418604651163,0.142857142857143,1,0.428571428571429,0.5
"4","RZ12JN","2023-07-19",2,-77,-77,"-66",1689792900,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-18",7,6.75,1.25,1,82.5,87.5,6.5,4,0,0.5,0.5,0,23.629078131263,25,0.577350269189626,0,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"5","RZ12JN","2023-07-20",1,2,4,"Es hatte irgendetwas mit der Uni / Schule zu tun. Ich sollte etwas in einem System abtragen. Ich habe ein Motorrad wahrgenommen mit Brumm Geräuschen. Sies habe ich auch in das System abgetragen. Meine Schwester und ein paar mir bekannte Personen waren im meinem Traum. Der Traum wirkt im Nachhinein etwas stressig auf mich, aber das Gefühl (beim Aufwachen) war positiv. Die Umgebung kam mir nicht bekannt vor.  ",1689827100,5,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,17,4,1,1,"2023-07-19",7,7,1,1,85.7142857142857,85.7142857142857,6.57142857142857,4,0,0,0,0,37.7964473009227,37.7964473009227,1.13389341902768,0,1,0.25,0,0,0,0,0,0,1
"6","RZ12JN","2023-07-21",1,2,5,"es war eine kirchliche Feier / Hochzeit meiner Oma, die zu einer Party wurde und dann nun nicht mehr in der Kirche war. Dort waren sehr viele meiner engsten Familienmitglieder meine Cousine, meine Schwester, mein Cousin, meine Mama, meine Tanten und Onkel und weitere Familienmitglieder. Die Feier hatte einem DJ der zunächst mit am Esstisch saß und in dem Moment als ich mich wunderte wieso die Musik ao schlecht ist und er nicht am Pult steht ist er dann folgend dahin Gegengen. Die Party wandelte sich und die Person die im Mittelpunkt der Party war war meine Cousine K. die dass Heiratete oder ähnliches? Dann kommen in den Raum Personen (2) die ich nicht kannte und sollten akrobatisch Tanzen was aber sehr schlecht aussah und nicht wirklich gelungen war. Es wurden in dem Raum Türen aufgestellt. Es kamen weitere Personen dazu die eine Show mit den Türen glaube ich veranstalten sollten Ich stand iwie mittendrin und beobachtete alles aus meiner Perspektive.",1689912600,6,1,5,9,8,0,0,0,0,2,1,3,1,2,0,3,0,1,4,7,1,167,18.5555555555556,1.8,5,5,"2023-07-20",7,7,1,1,100,100,7,4,0,0,0,0,0,0,0,0,0.571428571428571,0.888888888888889,0,0,0,0,0,0,1
"7","RZ12JN","2023-07-22",1,2,1,"ich hatte mich mit einer Schwester und Cusine im Hinterhof meiner ehemaligen Wohnung unterhalten. Es ging um den Balkon in der aktuellen Wohnung. Die Vermieterin meinte man muss alles ansprechen, damit es gemacht wird. Dort war meine Ehemalige Arbeitskollegin mit der ich im keinem hinten Verhältnis bin. Sie verwandelte ich zu meiner ehemaligen Klassenkameradin die ich nicht mag. Ich verletzte ihre Nase mit einem Andy so dass die zu bluten Begann. Die Vermieterin wollte per Mail dann mit meiner Schwester sprechen wegen dem Balkon. Nicht mehr mit mir ",1690035840,7,1,1,6,6,4,1,1,4,5,0,0,0,0,0,0,0,0,5,0,0,88,14.6666666666667,6,1,1,"2023-07-21",7,7,1,1,100,73.4,6,4,0,0,0,0,0,27.564469884255,1.73205080756888,0,0.714285714285714,1,0.666666666666667,0.666666666666667,0.0136239782016349,0.166666666666667,0.666666666666667,0.666666666666667,1
"8","RZ12JN","2023-07-23",1,2,5,"Ich war in der Wohnung / WG eines Bekannten/Freundes, er wohnt eigentlich alleine aber es schien eine WG zu sein, welche aus 2 weiteren mit bekannten Personen bestand. Ich hab mich gut verstanden mit den Freund und ihm geküsst, doch sein Oberschenkel fing an zu Bluten. Er wusste nicht Wasser sich getan hatte aber er hatte bereits ein Pflaster drauf kleben. Es war sehr viel Blut zu sehen. Es floss auf den Boden runter. ",1690106160,8,1,1,5,4,2,2,2,2,4,0,0,0,0,0,0,0,0,4,0,0,78,15.6,5,1,1,"2023-07-22",7,5,1,1,33.3333333333333,33.3333333333333,5,3.5,0,3.46410161513775,0,0,57.7350269189626,57.7350269189626,2,0.866025403784439,0.428571428571429,0.8,0.5,0.4,0.0600000000000001,0.4,0.5,0.4,1
"9","RZ12JN","2023-07-24",1,2,2,"Ich musste einem dunkeln Schmetterling einfangen. Es hatte eine besondere Relevanz und sollte zu irgendetwas führen. Er War sehr große (So wie die Katze) Dies habe ich mit einen Händen gemacht. Mein Onkel war da und es war wie ein Wettrennen gehen ihm. Ich sollte etwas schlechtes Aufdecken, eine böse Sache / jemanden - einem Mann / Kriminellen einfangen.  oder rüberfahren Ich kann mich an Coca Cola erinnern, aber nicht mehr daran diese getrunken zu haben, sie spiele aber eine Rolle. Alles wahr in sehr intensiven Farben und hatte eine sehr positive Aura. ",1690196820,9,1,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,93,18.6,2.5,2,1,"2023-07-23",6.33333333333333,6,2.16666666666667,1.66666666666667,66.6666666666667,66.6666666666667,4.5,4.04166666666667,1.63299316185545,2,2.40138848724372,1.63299316185545,51.6397779494322,51.6397779494322,2.16794833886788,0.102062072615966,0.857142857142857,0.2,0,0,0,0,0,0,0.5
"10","RZ12JN","2023-07-25",1,1,1,"An der Uni hatte der Kurs etwas gewonnen, der Gewinner aber etwas was wir bereits hatten, so dass die Dozentin mit den kurzen braunen Haaren, stattdessen iPad Hüllen verteilt hatte die Weis mit einem Orangenen Muster (Fuchs?) waren. Danach bin ich auf mein WG Zimmer an der Uni (ich wusste dass es diese war, sah aber nicht wie UDE aus) gegengen. Ich war in diesen WG Zimmer welches im 12 Stock war und dieses Zimmer teilte ich mir nun mit jemanden. Die Waschmaschine der ehemaligen Mitbewohnerin war noch dort und ich wollte, dass sie die abholt. Draußen war ein Einbrecher, er hatte sich glaube ich abgeseilt entlang der Wand. Das Machen mit dem ich mir das Zimmer teilte hatte glaube ich ein Kind, welches von den bösen Menschen  als Geisel  mitgenommen worden ist. Ich konnte die Frau in mein Zimmer reinziehen und habe ihr gesagt dass wir ihre Tochter auch noch retten können. Ich hatte große Angst. Wir haben zu 3 (Mitbewohnerin, ehemalige Mitbewohnerin -> Mutter des Kindes?, und ich) alles verriegelt. Wir haben auch welchen weg auch immer den bösen Menschen mitgeteilt dass er das kleine Mädchen hier abgeben soll, doch das machte mir angst weil er nun ja wusste dass wir im 12 Stich sind. Ich habe mein Handy genommen und wollte Hilfe / Polizei rufen aber es kam kein Ton. Ich hatte große Aufregung und große Angst verspürt. Ich bin in diesen Moment aufgewacht.   Später war ich zuhaue und hatte in einem Haus gewohnt mit mehreren einzelnenWohnungen für sich auf mehreren Etagen. Meine Schwester hatte eine eigene Wohnung ich glaube übe mir und ich wohne auch in diesen Gebäude. Mein Vater war auch da und ich glaube dass er auch Iwo dort gewohnt hat. In D. (Meine Schwester) Wohnung war eine Frau die glaube ich Selbstmord begangen hat und sich die Kehle durchgeschnitten hat. Sie lag auf dem Boden in dieser sehr hellen, fast wiesen Wohnung. Daria war da und ich mein Bruder und mein Papa wäre auch dahin gekommen. Iwie sah die Frau noch am leben aus aber wie war sie auch tot. An ihren Hals war Blut zu sehen. Sie hatte dunkel / schwere Haare und sehr blasse Haut. Ich war nur froh dass mein Bruder noch lebt und keiner beachtete die Frau mit der durchgeschnittenen Kehle besonders. D. saß am Schreibtisch. Der Tisch war aus dunkelbraunen Holz. Ich war unterwegs mit meinem Freund und schrieb gleichzeitig mit meinem Freund aber ich wollte nicht wissen dass der mit dem ich da war es sieht. Ich meine es handelte sich nicht um den selben Menschen. ",1690266060,10,2,4,17,13,10,5,1,6,4,4,4,0,1,1,0,0,0,5,9,0,435,25.5882352941176,4.25,2,4,"2023-07-24",3.5,4.25,4,4.5,31.25,31.5,2,4.0625,1.73205080756888,2.62995563967658,2.94392028877595,2.38047614284762,47.3242362150023,47.2828369143251,1.15470053837925,0.239356776939085,0.571428571428571,0.764705882352941,0.769230769230769,0.588235294117647,0.158730158730159,0.0588235294117647,0.461538461538462,0.352941176470588,1
