"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","SB01MC","2023-10-23",2,-77,-77,"-66",1698033600,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-21",3.57142857142857,4.42857142857143,4.14285714285714,4.28571428571429,46.4285714285714,47,4.14285714285714,4.10714285714286,0.786795792469443,0.534522483824849,0.899735410842437,0.755928946018455,39.5552657381928,41.3521462562707,1.57359158493889,0.349319065502886,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","SB01MC","2023-10-24",1,2,2,"Ich habe geträumt dass ich verschlafen habe und dann zu spät zur Arbeit gekommen bin und gefeuert wurde. ",1698123780,2,1,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,22,7.33333333333333,3,1,1,"2023-10-22",3.8,3.6,4.2,4.2,76,74.2,4.8,3.95,0.447213595499958,0.894427190999916,0.447213595499958,0.447213595499958,43.2492774506118,43.3382048543776,2.16794833886788,0.111803398874989,0.714285714285714,0.333333333333333,1,0.333333333333333,0,0,1,0.333333333333333,1
"3","SB01MC","2023-10-25",2,-77,-77,"-66",1698219420,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-23",4,4,4,4,45.8,43,4.2,4,0,0,0,0,19.0315527480025,23.4840371316348,1.6431676725155,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"4","SB01MC","2023-10-26",1,1,1,"Ich war mit einer Freundin abends im Kino in einem Horrorfilm. Als wir dann zu Fuß nach Hause gegangen sind haben uns die gruseligen Figuren aus dem Film verfolgt und wollten uns umbringen",1698296820,4,1,2,2,2,2,1,0,1,1,0,1,0,0,0,1,0,0,1,2,0,33,16.5,1,2,2,"2023-10-24",3.5,4.66666666666667,3.5,4.5,46,44.8333333333333,3.5,4.04166666666667,0.547722557505166,0.816496580927726,0.547722557505166,0.547722557505166,20.591260281974,25.5140484178161,1.04880884817015,0.102062072615966,0.857142857142857,1,1,1,0.0223048327137547,0,0.5,0.5,1
"5","SB01MC","2023-10-27",1,2,3,"Ich habe davon geträumt dass ich wieder im Jahr 2017 oder so war und ich mit meinen ehemaligen Freundinnen draußen unterwegs und haben Zeit zusammen verbracht",1698426060,5,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,26,26,1,1,1,"2023-10-25",3.66666666666667,4.33333333333333,3.5,4.66666666666667,57.5,35.6666666666667,3,4.04166666666667,0.516397779494322,0.516397779494322,1.04880884817015,1.03279555898864,37.6284466859848,20.8582517643897,1.26491106406735,0.18819316317727,0.857142857142857,1,1,1,0.0280373831775701,1,1,1,1
"6","SB01MC","2023-10-28",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",4,4,4,4,35.5,34.5,3.25,4,0,0,0,0,32.6751689615626,35.2940032677885,0.957427107756338,0,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"7","SB01MC","2023-10-29",2,-77,-77,"-66",1698562020,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-27",4,4,4,4,65.6666666666667,35,3.33333333333333,4,0,0,0,0,36.8962509387246,36.7151195013716,0.577350269189626,0,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"8","SB01MC","2023-10-30",1,1,2,"Ich war am Hauptbahnhof in Essen und dann wurde ich überfallen also mir wurde alles wichtige geklaut (Handy, Portmonee, IPad, Laptop). Ich hatte mega Angst und habe direkt geweint als es vorbei war. Dann bin ich zu jemandem gegangen und habe ihm gesagt er soll die Polizei anrufen.",1698645240,8,1,1,4,2,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,52,13,4,1,1,"2023-10-28",4,4,4,4,44.3333333333333,69.6666666666667,5,4,0,0,0,0,50.9542278258962,33.946035605551,1,0,0.428571428571429,0.5,1,0.5,0,0,1,0.5,1
"9","SB01MC","2023-10-31",2,-77,-77,"-66",1698785400,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-29",4,4.5,3.5,3.5,68.5,48.75,3.75,3.875,0,1,1,1,36.3822300947408,34.5193182628703,1.5,0.25,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"10","SB01MC","2023-11-01",1,1,2,"Ich war in dem Horrorfilm den ich gestern Abend geschaut habe und musste vor Michael Myers weglaufen ",1698836640,10,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,17,17,1,1,1,"2023-10-30",4.25,3.75,3.5,3.75,63.5,41.75,4,3.8125,0.5,0.5,0.577350269189626,0.5,37.0450176586992,20.7424685126915,1.4142135623731,0.239356776939085,0.571428571428571,1,1,1,0,0,1,1,1
"11","SB01MC","2023-11-02",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-31",4,4,3.5,3.5,75,67,5,3.75,0,0,0.707106781186548,0.707106781186548,35.3553390593274,33.9411254969543,1.4142135623731,0.353553390593274,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"12","SB01MC","2023-11-03",1,2,2,"Ich hatte ein Vorstellungsgespräch für einen Aushilfsjob bei dm und das Gespräch war nicht gut. Der Chef hat sehr komische Fragen gestellt und ich wusste nicht wie ich reagieren soll. Als es dann sehr private und persönliche Fragen wurden bin ich einfach gegangen und habe geweint ",1699023660,12,1,1,3,3,3,1,1,3,0,3,0,0,0,0,0,0,0,0,3,0,48,16,3,1,1,"2023-11-01",4,4,4,4,54.3333333333333,47,4.66666666666667,4,1,1,1,1,36.1155552820849,40.1497197997695,1.52752523165195,0,0.428571428571429,1,1,1,0.0212765957446809,0.333333333333333,1,1,1
"13","SB01MC","2023-11-04",2,-77,-77,"-66",1699083540,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-02",4,4,4,4,95,87,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA
"14","SB01MC","2023-11-05",1,2,3,"Ich war seit langem mal wieder reiten und hatte sehr viel Spaß. Eine Freundin, die auch reitet war auch mit dabei ",1699167540,14,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21,21,1,1,1,"2023-11-03",4.5,4.5,3.5,3.5,50,50,4.5,4,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,70.7106781186548,70.7106781186548,2.12132034355964,0,0.285714285714286,1,1,1,0.02,0,0,0,1
"15","SB01MC","2023-11-06",2,-77,-77,"-66",1699297260,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-04",4.2,4.2,3.8,3.8,56.4,51.8,4.4,4,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,44.2978554785669,47.4573492727944,1.94935886896179,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
