"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","SB02CR","2023-07-16",2,-77,-77,"-66",1689485520,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-15",4.6,4.6,4,4,91,91,4.4,4.3,1.34164078649987,0.894427190999916,1.22474487139159,1.22474487139159,20.1246117974981,20.1246117974981,2.30217288664427,0.273861278752583,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"2","SB02CR","2023-07-17",1,1,1,"Ich musste eine Klausur schreiben, aber habe nicht gelernt und hatte deshalb Angst vor der Klausur. Dann habe ich mit meinem Freund Nudeln gekocht.",1689568860,2,1,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24,12,1,2,1,"2023-07-16",3.75,4.5,3.5,4.75,100,58,4.5,4.125,0.5,0.577350269189626,0.577350269189626,0.5,0,50.2261552048996,1.91485421551268,0.144337567297406,0.571428571428571,0.5,1,0.5,0.0172413793103448,0,0,0,0.5
"3","SB02CR","2023-07-18",1,1,2,"Ich habe geträumt, dass ich einen riesigen Blumenstrauß hatte. Aber irgendwie war es da gruselig wo man den kaufen kann. Und ich wollte mit meinen Freunden auf ein Festival aber die haben getrödelt und dann hab ich den act den ich sehen wollte verpasst.",1689653400,3,1,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,46,11.5,4,1,1,"2023-07-17",4,4,3.5,3.75,50,30.75,5,3.8125,0,0,0.577350269189626,0.5,57.7350269189626,47.4227441916499,1.15470053837925,0.239356776939085,0.571428571428571,0.25,0,0,0,0,0,0,1
"4","SB02CR","2023-07-19",1,2,2,"Ich war in einem Garten mit Freunden und dann kann jemand und ich musste weglaufen. Und dann war ich in Cartier mit einer Person, die mit einfach alles gekauft hat.",1689742140,4,1,2,3,3,2,1,0,1,1,0,0,2,1,0,0,0,0,2,0,2,32,10.6666666666667,1.5,2,2,"2023-07-18",4,4.2,4.2,3.8,70,49.8,5,4.05,0.707106781186548,0.447213595499958,0.447213595499958,0.447213595499958,44.7213595499958,50.0019999600016,1.22474487139159,0.111803398874989,0.714285714285714,1,0.666666666666667,0.666666666666667,0.0200803212851406,0,0.333333333333333,0.333333333333333,1
"5","SB02CR","2023-07-20",1,1,2,"Ich war beim Schönheitssalon weil ich mich über botox Behandlungen informieren wollte. Da war ein Typ der mich einfach gefilmt hat und als er das nicht löschen wollte habe ich seine Kamera kaputt gemacht. Dann hat der Chirurg mir einen Karton mit einer Schlange mit nach Hause gegeben und die ist abgehauen und ich musste sie einfangen ",1689828540,5,1,2,6,3,3,0,0,3,0,1,2,0,0,0,0,0,0,0,3,0,63,10.5,3,2,2,"2023-07-19",3.5,3.75,4.5,5,62.75,36.75,4.75,4.1875,1,0.5,1,1.4142135623731,47.7868531432374,47.6331467222843,0.957427107756338,0.239356776939085,0.571428571428571,0.5,1,0.5,0,0,1,0.5,1
"6","SB02CR","2023-07-21",2,-77,-77,"-66",1689912120,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-20",3.83333333333333,4,3.83333333333333,4,50.5,44.3333333333333,4.83333333333333,3.91666666666667,0.408248290463863,0.632455532033676,0.752772652709081,0.632455532033676,44.7381269165351,38.4742338022041,1.32916013582513,0.204124145231932,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"7","SB02CR","2023-07-22",1,2,3,"Ich war mit meiner Familie in Amsterdam und da war ein Lana del rey Café und da waren wir drin. ",1690004820,7,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,20,20,1,1,1,"2023-07-21",4.14285714285714,4,3.71428571428571,3.71428571428571,71.7142857142857,64.7142857142857,4.57142857142857,3.89285714285714,0.377964473009227,0.577350269189626,0.755928946018455,0.487950036474267,39.1608404987869,37.6417954128753,0.786795792469443,0.28347335475692,1,1,1,1,0.0154525386313466,0,0,0,1
"8","SB02CR","2023-07-23",2,-77,-77,"-66",1690091760,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-22",4.2,4.6,4,3.4,60,60,5.6,4.05,0.447213595499958,0.547722557505166,0.707106781186548,0.547722557505166,54.7722557505166,54.7722557505166,1.51657508881031,0.325960120260132,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"9","SB02CR","2023-07-24",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-23",4,3.5,4,5,100,100,6,4.125,0,0.707106781186548,0,0,0,0,1.4142135623731,0.176776695296637,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"10","SB02CR","2023-07-25",1,2,3,"Ich war auf einem großen Feld mit Bergen und habe mir den Sonnenuntergang angeguckt. Danach war ich da nochmal und andere Menschen waren auch da mit denen ich geredet habe.",1690258200,10,1,2,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2,30,15,1,2,1,"2023-07-24",3.4,3.2,4.6,5.2,41.2,33.2,4.4,4.1,1.14017542509914,0.836660026534076,1.14017542509914,1.09544511501033,23.0911238357946,23.7002109695251,0.894427190999916,0.136930639376292,0.714285714285714,0.5,1,0.5,0.0301204819277108,0.5,1,0.5,0.5
