"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","SB08DM","2023-10-18",1,2,3,"Ich habe geträumt das ich auf dem Weg zur Uni im Zug saß, so wie jeden Morgen. Ich war sehr müde. Dann habe ich meinen alten deutsch Lk Lehrer getroffen. Er hat mit hallo gesagt.   Ich glaub das hat damit zu tun, dass ich im Moment die Schulzeit sehr vermisse.",1697599740,1,1,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,50,16.6666666666667,3,1,1,"2023-10-18",3.16666666666667,4.66666666666667,2.83333333333333,5,52.3333333333333,50.5,4.83333333333333,3.91666666666667,0.408248290463863,0.516397779494322,0.408248290463863,0,37.0657074216407,24.8012096479184,0.752772652709081,0.204124145231932,0.857142857142857,0.333333333333333,1,0.333333333333333,0,0,1,0.333333333333333,1
"2","SB08DM","2023-10-19",1,2,4,"Ich kann mich nicht mehr komplett erinnern, aber ich weis, dass ich in dem Traum glücklich war. Also ich bin mit einem total positiven Gefühl aufgewacht. Ich glaube in dem Traum war ich alleine, es kamen keine anderen Personen vor. Ich meine, ich war im Urlaub, irgendwo am Meer.",1697688420,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,1,1,NA,"2023-10-19",3.16666666666667,5.16666666666667,2.5,5,51.8333333333333,45.6666666666667,4.66666666666667,3.95833333333333,0.983192080250175,0.752772652709081,0.836660026534076,0.632455532033676,24.943268965127,26.8824602048746,0.816496580927726,0.18819316317727,0.857142857142857,0,NA,0,0,0,NA,0,NA
"3","SB08DM","2023-10-20",2,-77,-77,"-66",1697778060,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-20",3,5.75,2,5,64,53.25,5,3.9375,0,0.5,0,0,31.8642955882181,34.1113373137632,1.15470053837925,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"4","SB08DM","2023-10-21",1,2,3,"Ich habe mich mit meinen Freunden getroffen und wir haben über alte Zeiten geredet und was dieses Jahr alles passiert ist.",1697864820,4,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,21,21,1,1,1,"2023-10-21",3.25,6,1.75,4.75,29,20,4.25,3.9375,1.25830573921179,0.816496580927726,0.5,1.25830573921179,11.6045967903528,13.114877048604,0.5,0.125,0.571428571428571,1,1,1,0.05,1,1,1,1
"5","SB08DM","2023-10-22",1,2,4,"Ich war nachts alleine unterwegs in Essen in der U Bahn und wollte irgendwo hin, ich weis aber nicht wohin genau. Dann habe ich einen Mann getroffen der komplett tätowiert war und wir sind zusammen in die Kirche gegangen. Danach bin ich zurück in meine wg gegangen, obwohl ich in gar keiner wg wohne.",1697949480,5,1,3,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,56,14,1.33333333333333,3,1,"2023-10-22",3.4,6,1.6,5,51.2,51.6,5.6,4,0.894427190999916,0,0.547722557505166,0,30.8496353300975,32.2071420650762,1.14017542509914,0.176776695296637,0.714285714285714,0.5,0.5,0.25,0.0193798449612403,0,0,0,0.333333333333333
"6","SB08DM","2023-10-23",1,2,2,"Ich war mit alten Schulfreunden in Essen an der Uni. Wir haben dann dort über eine bestimmte Person gesprochen aus der Schule. Ich habe mich unwohl gefühlt und ich mochte diese Leute nicht besonders.",1698032280,6,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,34,34,1,1,1,"2023-10-23",2.8,5.8,2,5.2,79.4,46,5,3.95,0.447213595499958,0.447213595499958,0,0.447213595499958,8.79204185613331,21.5522620622523,0.707106781186548,0.111803398874989,0.714285714285714,1,1,1,0.0217391304347826,1,1,1,1
"7","SB08DM","2023-10-24",2,-77,-77,"-66",1698119400,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-24",2.25,5.75,2,6,77.75,60.5,5.25,4,0.5,0.5,0.816496580927726,0,6.18465843842649,29.6479341607472,0.957427107756338,0.204124145231932,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"8","SB08DM","2023-10-25",1,1,1,"Ich wollte ins Bett gehen. Aber es lag eine Riesen Gottesanbeterin (so groß wie die Hälfte von meinem Bett) unter meiner Decke. Das war sehr schlimm weil ich mein Bett frisch bezogen hatte und ich mich dann aber so geekelt habe, dass mir übel geworden ist.",1698202020,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,1,1,NA,"2023-10-25",1.66666666666667,5.33333333333333,3.5,6.83333333333333,59.8333333333333,52.1666666666667,4.5,4.33333333333333,0.516397779494322,1.211060141639,2.07364413533277,0.408248290463863,18.3893084879956,24.5390844708328,0.836660026534076,0.376386326354541,0.857142857142857,0,NA,0,0,0,NA,0,NA
"9","SB08DM","2023-10-26",2,-77,-77,"-66",1698309300,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",1.66666666666667,5.66666666666667,2,6.33333333333333,62.3333333333333,51,5,3.91666666666667,0.577350269189626,0.577350269189626,0,0.577350269189626,32.1921315438002,26.9072480941474,1,0.144337567297406,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"10","SB08DM","2023-10-27",1,2,2,"Ich habe mich mit alten Freunden im Zug getroffen und wir haben gequatscht.  Dann war ich im Zug auf der Toilette und es war sehr eklig.",1698375660,10,1,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,26,13,1,2,1,"2023-10-27",1.25,6,2,7,85.75,66.75,5.5,4.0625,0.5,0,0,0,9.9121138007995,28.5700892543233,1.29099444873581,0.125,0.571428571428571,0.5,1,0.5,0.0149812734082397,0.5,1,0.5,0.5
"11","SB08DM","2023-10-28",2,-77,-77,"-66",1698505500,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-28",1.25,6.25,2,6.75,83.75,53.5,5.25,4.0625,0.5,0.5,0,0.5,20.9821352583573,42.5401770878621,1.5,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"12","SB08DM","2023-10-29",2,-77,-77,"-66",1698567900,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-29",1,6.25,2,7,89.25,61,5.5,4.0625,0,0.5,0,0,14.6372811683044,33.6749164809655,1.29099444873581,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"13","SB08DM","2023-10-30",1,2,3,"Ich habe ein neues MacBook bekommen aber das hatte keine Touch ID.  Das fand ich nicht so toll.",1698652860,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,1,NA,"2023-10-30",1,6.66666666666667,1.66666666666667,7,84.6666666666667,75.3333333333333,6,4.08333333333333,0,0.577350269189626,0.577350269189626,0,7.76745346515403,9.71253485622231,0,0.144337567297406,0.428571428571429,0,NA,0,0,0,NA,0,NA
"14","SB08DM","2023-10-31",1,2,4,"Ich habe mit meiner Familie zu Mittag gegessen. Wir waren in Griechenland, auf Kos. Es war schön. Ich habe einen Salat mit Avocado und Lachs gegessen.",1698737340,14,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,26,26,1,1,1,"2023-10-31",1,6.2,1.6,6.8,74.2,58,5.4,3.9,0,0.447213595499958,0.894427190999916,0.447213595499958,31.499206339208,35.3765459026175,1.14017542509914,0.223606797749979,0.714285714285714,1,1,1,0.0172413793103448,0,0,0,1
