"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","SB12KR","2023-10-31",1,2,4,"Heute bin ich wieder mehrmals morgens aufgewacht und wieder eingeschlafen (Folge der Zeitumstellung?). An 2 Träume erinnere ich mich, auch wenn ich weiß, dass es mehr gab.  Einmal war ich mit 2 Freundinnen unterwegs, wir wollten mit der Bahn für ein paar Tage nach Holland fahren. Eine Unterkunft hatten wir nicht, auch die Tickets buchten wir sehr spontan, überhaupt war alles recht spontan und wir hatten unvollständig gepackt.  In einer nächsten Situation saß ich mit etwa 10 Personen an einer langen Tafel in einem sonnigen Garten unter einem Baum. Dort passierte verschiedenes. Woran ich mich erinnere, ist, dass ich Hagebutten, die wie Tomaten aussahen, vom Baum pflückte, tlw. waren sie noch grün, um Hagebuttenmarmelade zu kochen. Gleichzeitig blühten andere Bäume, was mir auffiel, weil Blüte und Ernte ja eigentlich nicht gleichzeitig vorkommen.  In einem weiteren Traum waren meine eigene Familie und eine andere, mit der wir zu Kindertagen mehr Kontakt haben, heute sind v.a. noch die Eltern befreundet, auf einer Radtour und machten gerade Pause. Es war sonniges Wetter, mehr weiß ich nicht.  Die Orte waren mir alle nicht bekannt. ",1698731040,1,2,3,6,3,3,3,0,0,1,0,0,1,1,0,0,0,1,2,0,1,180,30,2,1.5,3,"2023-10-31",5.8,7,1,2,16.6,52.4,5.8,3.95,0.447213595499958,0,0,0,20.0698779268834,34.0631765987848,0.447213595499958,0.111803398874989,0.714285714285714,0.5,1,0.5,0.0572519083969466,0,0,0,1
"2","SB12KR","2023-11-01",1,2,2,"In dem Traum, an den ich mich heute erinnern kann, lief ich mit einer Freundin - ich weiß nicht mehr, welcher - durch ein ausgetrocknetes, asphaltiertes Flussbett. Erst war alles friedlich, dann kamen mehr und mehr Autos, die durch das Flussbett fuhren und wir mussten in den Wald links und rechts ausweichen. Nachher kamen noch lauter Hunde dazu. Da ich Angst habe vor Hunden waren sowohl die Autos als auch die Hunde bedrohlich.   Das Flussbett führte in einen Ort am Meer, den ich in Wirklichkeit nicht kenne, im Traum wusste ich von ihm. Es ist ein Ort, in den man nur hineinschauen kann am Rand, dann muss man Eintritt zahlen. Es war ein eher schicker Ort Es war dort ein riesiges Gedränge und auch meine Familie war nun dort, allerdings waren alle ca. 20 Jahre jünger. Wir drängten uns durch das Gedränge und irgendwie verloren wir uns auch. An weiteres bis zum Aufwachen kann ich mich nicht erinnern. ",1698819300,2,1,3,9,4,4,4,0,0,4,0,0,0,1,0,0,0,0,5,0,0,164,18.2222222222222,3,3,2,"2023-11-01",7,7,1,1,100,100,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,0.444444444444444,1,0.444444444444444,0.04,0,0,0,0.666666666666667
"3","SB12KR","2023-11-02",1,2,5,"Ich kann mich heute nur an einen kurzen Traumabschnitt erinnern. Ich war in einem Unigebäude, das ich nicht kenne, und lief dort Arm in Arm mit einer Partervermittlerin, über die ich einen tollen Mann kennengelernt hatte. Sie wurde immer wieder für eine Dozentin gehalten, auch wenn sie das nicht ist, was mir ganz recht war, weil es mir etwas unangenehm war, Arm in Arm mit einer Partnervermittlerin durch die Uni zu laufen. Zur Uni gehörte eine Parkanlage und das Wetter war sonnig und warm. Ich redete mit ihr darüber, wie dankbar ich für den von ihr vermittelten Mann bin und sie warnte mich davor, zu optimistisch zu sein, ich solle erst mal abwarten, wie sich der Kontakt weiterentwickelt, um im Zweifelsfall nicht zu stark verletzt zu werden. Dann wachte ich auf.",1698903900,3,1,1,5,3,2,2,1,1,3,0,0,1,0,0,0,0,1,3,0,1,131,26.2,5,1,1,"2023-11-02",6,7,1,1.75,28.75,32.25,5,3.9375,0,0,0,0.5,41.3067791046458,36.1513024200604,0,0.125,0.571428571428571,0.6,0.666666666666667,0.4,0.062015503875969,0.2,0.333333333333333,0.2,1
"4","SB12KR","2023-11-03",1,2,5,"Ich habe mich mit meinem Jahrgang aus dem Freiwilligendienst getroffen. Das machen wir einmal jährlich. Den Ort kannte ich nicht, aber die Personen waren mir alle vertraut. Und wir haben auch gemacht, was wir in dieser Runde immer machen: uns gegenseitig den Rücken massiert. Ich erinnere mich tatsächlich nur an diesen Schnipsel des Traums.",1698988860,4,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,54,54,1,1,1,"2023-11-03",6,7,1,2,100,90,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,1,1,1,0.0111111111111111,1,1,1,1
"5","SB12KR","2023-11-04",2,-77,-77,"-66",1699075020,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-04",6,7,1,1.5,100,66.5,6,3.875,0,0,0,0.707106781186548,0,47.3761543394987,0,0.176776695296637,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"6","SB12KR","2023-11-05",1,2,4,"Ich habe diese Nacht geträumt, dass ich ein Kind geboren habe. Die Geburt selber habe ich allerdings nicht mitbekommen, hatte aber nachher ein kleines Bündel im Arm. Ich war in einem Krankenhaus und musste dort von einer Station zur nächsten laufen für verschiedene Untersuchungen. Begleitet hat mich dabei eine Frau in meinem Alter, die ich nur ein wenig kannte, die sich aber gut um mich sorgte.",1699164000,6,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,66,33,2,1,1,"2023-11-05",5.66666666666667,7,1,2,43,53.6666666666667,5.33333333333333,3.91666666666667,0.577350269189626,0,0,0,49.7895571380184,41.2350983184633,0.577350269189626,0.144337567297406,0.428571428571429,0.5,1,0.5,0,0,1,0.5,1
"7","SB12KR","2023-11-06",1,2,4,"Im Traum dieser Nacht ging es um meinen bevorstehenden Umzug. Ich saß in einer Art Klassenraum, der mit Holzmöbeln eingerichtet war. Ich plante meinen Umzug, indem ich eine Liste schrieb, was ich alles einpacke. Ich wurde dabei von verschiedenen Leuten unterstützt, u.a. meiner Mutter. Ich weiß, dass in dem Traum auch mehr passierte, doch bekomme ich das nicht mehr in Erinnerung gebracht.",1699251420,7,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,62,20.6666666666667,3,1,1,"2023-11-06",6,7,1,2,3.33333333333333,6.66666666666667,5,4,0,0,0,0,5.77350269189626,2.88675134594813,0,0,0.428571428571429,0.333333333333333,1,0.333333333333333,0.15,0.333333333333333,1,0.333333333333333,1
"8","SB12KR","2023-11-07",1,2,4,"Es ist erneut eim Traum, bei dem ich mich nur an die Szenerie erinnern kann. Irgendwie komisch, dass meine Traumberichte immer kürzer und inhaltsleerer werden, ich hätte das Gegenteil erwartet. Nun zur Szenerie. Ich habe einen Freund zum ersten Mal in seiner Wohnung besucht. Die Wohnung war lichtdurchflutet und hell, in Holz- und Weißtönen. Ich kenne diese Wohnung nicht. Wir saßen zusammen am Esszimmertisch. Weitere Erinnerungen habe ich nicht.",1699334220,8,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,69,23,3,1,1,"2023-11-07",5.66666666666667,7,1,2,15.6666666666667,64.6666666666667,5.66666666666667,3.91666666666667,0.577350269189626,0,0,0,22.9419557434263,38.7986254052039,0.577350269189626,0.144337567297406,0.428571428571429,0.333333333333333,0,0,0,0,0,0,1
"9","SB12KR","2023-11-08",1,2,4,"Ich kann mich an 2 Szenen aus meinem Traum erinnern. Das eine ist eine Wanderung in einer hügeligen Landschaft. Die Wanderung führt auf einen Berg und zurück. Ich bin auf diesem Weg unterwegs, aber auch eine gute Freundin von mir, mit der ich bald zusammenziehe. Die läuft mit zwei Frauen aus einem asiatischen Land (Indien? - zumindest tragen sie Saris) und sie sind früher aufgebrochen als ich. Trotzdem sind sie langsamer als ich gedacht hätte. Ich treffe sie auf dem Wegstück, das wieder vom Berg herunterführt. Auf dem Weg ist auch eine Frau aus dem ehrenamtlichen Vorstand meines Arbeitgebers unterwegs. Sie hat im richtigen Leben und auch im Traum recht große Probleme, längere Strecken zu laufen. Doch sie schlägt sich gut. Nachher sind wir bei ihr zu Hause. Wir telefonieren mit irgendwem, wozu und warum weiß ich nicht mehr. Ich glaube, wir telefonieren mit ihrem Mann, der im Auto unterwegs ist. Sowohl die Berglandschaft als auch das Haus sind mir aus dem realen Leben nicht bekannt. ",1699426320,9,1,2,7,3,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,168,24,3.5,2,2,"2023-11-08",6,7,1,2,17,54.2,5.6,4,0,0,0,0,19.3907194296653,37.0229658455397,0.547722557505166,0,0.714285714285714,0.428571428571429,0.333333333333333,0.142857142857143,0.018450184501845,0.142857142857143,0.333333333333333,0.142857142857143,1
"10","SB12KR","2023-11-09",1,2,3,"An meinen heutigen Traum habe ich nur sehr vage Erinnerungen. Ich traf die Familie, mit der ich zuletzt in einer Wohngemeinschaft lebte. Doch was wir gemacht haben, wo wir waren, was passiert ist, daran erinnere ich mich nicht. Doch möchte ich gerne meinen gestrigen Traum nachtragen, vom 09.11.    Zunächst hatte ich die Aufgabe, Rindenmulch in Blumenkästen eines Hauses zu verteilen. Ich kenne das Haus aus der Realität, es liegt an meinem morgendlichen Weg zur Straßenbahn. Mir gefällt das Haus sehr gut und wenn ich frei ein Haus wählen könnte, läge dieses weit oben. Der Besitzer des Hauses, den ich im richtigen Leben nicht kenne, war im Traum ein reicher Schnösel. Nachdem ich den Rindenmulch in seinen Augen falsch verteilt hatte, fuhr ich mit öffentlichen Verkehrsmitteln zu seiner Firma. Wenn ich mich richtig erinnere, mit einem Auftrag von ihm. Dort kam ich aber nie an. Auf dem Weg traf ich an einer Bushaltestelle eine junge Frau mit einem übergroßen Wanderrucksack. Ich kannte sie von einer Bildungsveranstaltung, doch sie erkannte mich nicht wieder. Danach geriet ich in eine süddeutsche, vermutlich bayrische Sakristei. Dort ging ich auf Toilette. Als ich mich gerade wieder angezogen hatte, kamen lauter ältere Damen, die Kuchen gebacken hatten. Ich verließ die Sakristei und landete in einer Art Freizeitparkskilift. Die Gondeln fuhren wie auf einer Achterbahn und ich musste aufpassen, nicht getroffen zu werden. Sie waren ziemlich bunt. Dann endete der Traum.  ",1699570799,10,1,4,11,3,2,1,1,2,1,0,2,0,0,0,1,0,0,1,3,0,199,18.0909090909091,2.75,4,3,"2023-11-09",6,7,1,2,27,59.5,5.5,4,0,0,0,0,8.48528137423857,38.8908729652601,0.707106781186548,0,0.285714285714286,0.272727272727273,0.666666666666667,0.181818181818182,0.0168067226890756,0.0909090909090909,0.666666666666667,0.181818181818182,0.75
