"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","SL07PT","2023-10-18",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-18",6,6.5,1,2.25,77.25,58,6.25,3.9375,0,0.577350269189626,0,0.5,18.3189337389853,14.8996644257513,0.957427107756338,0.239356776939085,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"2","SL07PT","2023-10-19",1,2,3.5,"Mein Ex war bei mir Zuhause. Wir waren beide glücklich. Meine Mutter hat Einkäufe hoch gebracht.   Da war ein Feuerwerk, was ich mir mit meinem Ex angeguckt habe. Da war Wasser und Plattformen auf dem Wasser. Auf einer der Plattformen war ein Privatflugzeug. Als ich das gesehen habe, habe ich mich dazu entschieden auf die Philippinen zu fliegen und habe das meiner Mutter erzählt. Dann habe ich mich doch dagegen entschieden, weil ich in der Uni anwesend sein möchte und momentan keine Zeit für Reisen sind. Das wollte ich dementsprechend in den Semesterferien machen.   Im Traum war ich zufrieden mit meiner Entscheidung.   Der Traum war angenehm und ich habe mich ziemlich gut und glücklich gefühlt.  Am Tag bei einem Nap (bei dem ich 2 Stunden vorher noch in Vollnarkose war).  Ich war beim Arzt und der hat mich seziert. Erst in einem normalen OP-Saal, dann sind wirr ausgezoomt und zwischen verschiedenen Gebern (nach italienischer Art, also in den Wänden und nicht am Boden) quasi hin und her geflogen und vor diesen hat er mich weiter seziert. Da waren Gräber von berühmten Musikern, die ich höre. Ich war wach, während der Arzt das gemacht hat, fand aber alles ganz spannend und nicht unangenehm oder schmerzhaft. Dann hat der Arzt mir auf einmal den Hals geleckt, was ich als äußerst unangenehm befand, woraufhin ich   „aufgewacht“ bin und mein Bruder neben mir lag. Ich war beruhigt, dass das alles nur ein Traum war. Ich habe meinem Bruder von dem komischen Traum erzählt. -> Traum im Traum  Und erst dann bin ich wirklich aufgewacht. ",NA,2,1,2,6,4,3,2,0,1,2,0,0,0,0,0,0,0,0,2,0,0,115,19.1666666666667,3,2,2,"2023-10-19",6,5.83333333333333,1.16666666666667,1.83333333333333,49.8333333333333,26.1666666666667,5.66666666666667,3.70833333333333,0,0.983192080250175,0.408248290463863,0.408248290463863,34.9366092611556,14.6070759108956,0.816496580927726,0.292261298612503,0.857142857142857,0.666666666666667,0.75,0.5,0.0764331210191082,0,0.25,0.166666666666667,1
"3","SL07PT","2023-10-19",1,2,3.5,"Mein Ex war bei mir Zuhause. Wir waren beide glücklich. Meine Mutter hat Einkäufe hoch gebracht.   Da war ein Feuerwerk, was ich mir mit meinem Ex angeguckt habe. Da war Wasser und Plattformen auf dem Wasser. Auf einer der Plattformen war ein Privatflugzeug. Als ich das gesehen habe, habe ich mich dazu entschieden auf die Philippinen zu fliegen und habe das meiner Mutter erzählt. Dann habe ich mich doch dagegen entschieden, weil ich in der Uni anwesend sein möchte und momentan keine Zeit für Reisen sind. Das wollte ich dementsprechend in den Semesterferien machen.   Im Traum war ich zufrieden mit meiner Entscheidung.   Der Traum war angenehm und ich habe mich ziemlich gut und glücklich gefühlt.  Am Tag bei einem Nap (bei dem ich 2 Stunden vorher noch in Vollnarkose war).  Ich war beim Arzt und der hat mich seziert. Erst in einem normalen OP-Saal, dann sind wirr ausgezoomt und zwischen verschiedenen Gebern (nach italienischer Art, also in den Wänden und nicht am Boden) quasi hin und her geflogen und vor diesen hat er mich weiter seziert. Da waren Gräber von berühmten Musikern, die ich höre. Ich war wach, während der Arzt das gemacht hat, fand aber alles ganz spannend und nicht unangenehm oder schmerzhaft. Dann hat der Arzt mir auf einmal den Hals geleckt, was ich als äußerst unangenehm befand, woraufhin ich   „aufgewacht“ bin und mein Bruder neben mir lag. Ich war beruhigt, dass das alles nur ein Traum war. Ich habe meinem Bruder von dem komischen Traum erzählt. -> Traum im Traum  Und erst dann bin ich wirklich aufgewacht. ",NA,2,2,4,6,4,4,1,0,3,1,3,0,0,0,0,0,0,0,1,3,0,149,24.8333333333333,1.5,2,4,"2023-10-19",6,5.83333333333333,1.16666666666667,1.83333333333333,49.8333333333333,26.1666666666667,5.66666666666667,3.70833333333333,0,0.983192080250175,0.408248290463863,0.408248290463863,34.9366092611556,14.6070759108956,0.816496580927726,0.292261298612503,0.857142857142857,0.666666666666667,1,0.666666666666667,0.0382165605095541,0,0.75,0.5,1
"4","SL07PT","2023-10-20",1,2,2,"Im Garten meiner Oma. Ganz viele verschimmelte Früchte an diesem Baum. Ich habe versucht die wegzumachen. Alle waren beim Fußballspiel. Ich habe eine Pflaume in einen anderen Garten geworfen. Habe gehofft, dass niemand in diesem Garten ist und ich keinen Ärger für diese Tat bekomme. Aufeinmal wurde jemand sauer und wollte auf mich schiessen. Aber es waren  nur  meine Oma und meine Tante. Ich habe mich hinter einem Baum versteckt und hatte Angst vor dem  Gewehr, was meine Oma in der Hand hielt und auf mich/den Baum zielte, ohne zu wissen, dass ich es bin, die sich hinter dem baum versteckt. Dann bin ich gerannt und meine Oma und Tante sind auf einmal auch gerannt. Wir sind um ein Weizenfeld gerannt und ich habe geschrien, dass ich es bin, die Enkelin meiner Oma. Dann sind sie stehen geblieben.  Zwischendurch habe ich die Stimme meines Opas gehört.  Mein Cousin hat gesagt, ich soll aufpassen, wenn ich zur Kaffeeparty gehe, weil man da immer Flecken auf den T Shirts zurückbringt. ",1697784120,3,1,2,9,7,5,1,1,5,6,0,0,1,4,0,0,0,1,10,0,1,168,18.6666666666667,4.5,2,1,"2023-10-20",6,6.71428571428571,1,1.85714285714286,87.1428571428571,65.1428571428571,5.85714285714286,3.89285714285714,0.577350269189626,0.755928946018455,0,0.690065559342354,12.8507920823137,5.01426536422407,0.377964473009227,0.243975018237133,1,0.777777777777778,0.714285714285714,0.555555555555556,0.0153508771929825,0.111111111111111,0.714285714285714,0.555555555555556,0.5
"5","SL07PT","2023-10-21",2,-77,-77,"-66",1697864040,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-21",6.4,7,1,1.4,21.6,17.8,5.8,3.95,0.894427190999916,0,0,0.547722557505166,14.3108350559987,13.1224997618594,0.447213595499958,0.209165006633519,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"6","SL07PT","2023-10-22",1,2,4,"Mein Ex, der in England wohnt, ist nach Deutschland gekommen, um mich für einen Tag zu besuchen. Wir hatten tollen Sex (sehr angenehm), bis meine Oma aus Hannover auf einmal überraschenderweise vor der Tür stand und geklingelt hat (was mir natürlich unangenehm war). Wir haben ihr aufgemacht und auf einmal war meine ganze Familie da. Zusammen haben wir Seifenblasen gemacht, dann bin ich aufgewacht.   In Realität habe ich wegen der Uhrzeit auf mein Handy geschaut, und gesehen, dass meine beste Freundin mir um 1 Uhr eine Nachricht geschickt hatte, die ich nicht verstanden habe. Nachdem ich ihr  hä  geantwortet habe, ein ich wieder schlafen gegangen und habe davon geträumt, dass sie mir zurück schreibt und erklärt was sie gemeint hat: sie würde morgen nach Münster fahren, aber einen Zwischenstopp in Essen machen und dann bei mir übernachten. Normalerweise freut mich das natürlich, aber ich hatte schon ein Treffen mit einem Jungen geplant, dem ich dann abgesagt habe, was mir ein bisschen unangenehm war. ",1697952360,5,2,2,8,6,4,2,1,3,5,0,0,0,2,0,0,0,0,7,0,0,167,20.875,4,1,2,"2023-10-22",6.5,7,1,1.33333333333333,40.3333333333333,34.3333333333333,6,3.95833333333333,0.547722557505166,0,0,0.516397779494322,40.7463699814679,36.3629848426483,0,0.245798020062544,0.857142857142857,0.75,0.666666666666667,0.5,0.0582524271844661,0.125,0.5,0.375,1
"7","SL07PT","2023-10-23",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-23",6.14285714285714,7,1,2.28571428571429,56.2857142857143,43.8571428571429,6,4.10714285714286,0.899735410842437,0,0,0.487950036474267,43.230831149826,37.786366904077,0.816496580927726,0.133630620956212,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","SL07PT","2023-10-24",2,-77,-77,"-66",1698154740,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-24",6.14285714285714,7,1,1.57142857142857,34.5714285714286,22.7142857142857,5.42857142857143,3.92857142857143,0.377964473009227,0,0,0.534522483824849,40.8405727304648,26.3673679998231,0.534522483824849,0.188982236504614,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","SL07PT","2023-10-25",1,2,2,"Ich war auf einem Event und da waren ganz viele Wasserrutschen, die ich versucht habe hochzusteigen, um irgendwo hinzukommen.   Dann später waren überall so Würmer (die man im Essen findet, also Maden oder sowas) auf dem Boden, die ich töten wollte, aber es waren echt sehr viele. Meine beste Freundin war auch da.   Die Erinnerung ist sehr verschwommen.",1698210360,8,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,58,19.3333333333333,1.5,2,1,"2023-10-25",6.28571428571429,7,1,1.28571428571429,48.4285714285714,21.5714285714286,6.14285714285714,3.89285714285714,0.487950036474267,0,0,0.487950036474267,42.8052066258967,21.3452347754492,0.690065559342354,0.133630620956212,1,0.333333333333333,1,0.333333333333333,0.0463576158940397,0,0,0,0.5
"10","SL07PT","2023-10-26",2,-77,-77,"-66",1698307440,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",6.2,7,1,1.2,9.6,14.4,5.6,3.85,0.836660026534076,0,0,0.447213595499958,21.466252583998,22.7332355814125,0.547722557505166,0.285043856274785,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
