"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","SM11HN","2023-10-21",1,2,3,"(als reference: ich hab heute meinen ersten Arbeitstag)  Ich habe davon geträumt, dass ich bei der Arbeit angekommen zur Theke gegangen bin und dort mit einem Mitarbeiter und zwei vorgesetzen stand. Zunächst habe ich einfach nur Kunden bedient, irgendwann hat jedoch eine Vorgesetzte angefangen meinen Kopf nach unten zu Pressen, ihre Hand war dabei deutlich größer als mein Kopf. Auch insgesamt sehe ich mich in meinen eigenen Träumen häufig deutlich kleiner als andere und als ich eigentlich bin. Auch hier war ich mit Abstand der kleinste der dort war, obwohl ich größer als die Vorgesetzten bin. Ich war vom Drücken aber nicht irritiert und hab dabei sogar gelächelt als wäre es das normalste der Welt. Danach bin ich aufgewacht. ",1697872740,1,1,2,7,3,3,1,0,2,2,1,0,0,1,1,0,0,0,3,2,0,125,17.8571428571429,3.5,2,2,"2023-10-20",7,6.6,1,1.2,73,66,5.8,3.95,0,0.547722557505166,0,0.447213595499958,41.7731971484108,26.9351072023113,1.09544511501033,0.111803398874989,0.714285714285714,0.428571428571429,1,0.428571428571429,0.0151515151515152,0,0.666666666666667,0.285714285714286,1
"2","SM11HN","2023-10-22",1,2,4,"Der Traum war zwar kein Albtraum, hatte jedoch einige Horrorelemente, ausserdem war ich irgendwie gleichzeitig an verschiedenen Orten. Zunächst war ich bei einem Partyveranstalter zuhause und er hat mich drum gebeten einen Weg von dem Gebäude wo alle waren zu dem Club zu finden. Eine Freundin von mir kam gerade zu unserem Gebäude und ist dabei so einen Tunnel langgelaufen. Ich bin dann mit einer Gruppe von Leuten Diesen Tunnel runtergelaufen um dem Weg zum Club zu finden. Unten waren 4 Notausgang Schilder, ich meinte dass dort die nähsten Ausgänge sind und einer davon zum Club ist, einer zurück zum Gebäude und bei den anderen beiden alles sein könnte. Wir wurden dann einige Male von Monster angegriffen und die haben auch paar Freunde verschleppt. Irgendwann war ich dann mit einen von denen alleine, sie ist in echt meine Arbeitskollegin und ich hab angefangen sie ganze Zeit auf der Wange zu küssen. Nach einer Zeit meinte sie ich soll auf Twitter nach Pornographie schauen. Gleichzeitig war ich aber auch in dem Auto mit einer Freundin von mir, mit welcher ich auch in echt intim war, und drei weiteren Freunden die hinten im Auto saßen. Auch mit ihr hab ich irgendwann rumgemacht und dann hat sie mich nachhause gefahren. Gleichzeitig dazu war ich auch in einem Wettrennen, mit denselben Leuten mit denen ich im Tunnel war. Dabei gab's 2 Teams. Einer auf dem Motorrad gegen den Rest in Autos. Mir stand jedoch irgendwie frei im welchem Team ich bin. Zunächst war ich bei dem Rest, am Ende jedoch mit dem Motorrad Fahrer, der Wechsel kam davon, dass ich irritiert davon war dass die Autofahrer bei Ampeln gewartet haben und er nicht. Es war dabei dunkel und ganz leer. Mit dem Motorrad Fahrer war ich dann bei einer Haltestelle und wir haben nach einem Fahrstuhl gesucht, wir haben aber nur einen riesigen Freizeitpark an der Haltestelle gefunden. Außerdem ist zu bemerken dass die Idee von den Notausgang zu Orientierung nach draußen von der Arbeit kam, weil man so den Weg von den Umkleiden in den Foyer findet. Es gab auch einen kurzen Moment wo ich am laufen war und aufeinmal von links von einer Studierendenkollgein angesprochen wurde. ",1697958300,2,1,6,18,15,14,8,1,7,7,1,0,7,1,0,0,4,0,8,1,11,370,20.5555555555556,3,6,6,"2023-10-21",6.66666666666667,6.66666666666667,1.33333333333333,1.33333333333333,77,53,5,4,0.577350269189626,0.577350269189626,0.577350269189626,0.577350269189626,25.2388589282479,41.7971290880127,1,0,0.428571428571429,0.833333333333333,0.933333333333333,0.777777777777778,0.150943396226415,0.0555555555555556,0.466666666666667,0.388888888888889,1
"3","SM11HN","2023-10-23",1,2,4,"Eigentlich hab ich nur kurz über die Arbeit geträumt, dabei hab ich nur den Tresen sauber gemacht und hatte kurze und wenige aber nette und unterhaltsame Gespräche mit meinen Kollegen, über den Inhalt erriner ich mich nicht. ",1698034980,3,1,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,39,19.5,2,1,1,"2023-10-22",7,7,1,1,35,39.25,5.25,4,0,0,0,0,45.0924975282289,45.264960694412,0.957427107756338,0,0.571428571428571,0.5,1,0.5,0.0254777070063694,0.5,1,0.5,1
"4","SM11HN","2023-10-24",2,-77,-77,"-66",1698131520,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-23",7,7,1,1,60,47.4285714285714,5.57142857142857,4,0,0,0,0,35.939764421413,27.5611873405165,1.2724180205607,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","SM11HN","2023-10-25",2,-77,-77,"-66",1698212040,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-24",7,7,1,1,60,37.4,5.6,4,0,0,0,0,41.8330013267038,38.9717846653191,1.14017542509914,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"6","SM11HN","2023-10-26",1,2,3,"Ich errinere mich daran wie eine ehemalige Klassenkameradin, mit der ich nicht viel zu tun hatte, einen Schwarm auf einen anderen Kameraden hatte, den ich auch nicht mochte. Daraufhin hab ich den Jungen ihr ausgespannt und sie lächerlich gemacht. Später wurd ich von einer Freundin getragen, am Hof meiner Grundschule und ich wog aufeinmal 10kg weniger. ",1698345780,6,1,3,4,4,3,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,58,14.5,1.33333333333333,3,3,"2023-10-25",7,7,1,1,80,59.3333333333333,6.16666666666667,4,0,0,0,0,28.9827534923789,33.1461410524161,0.408248290463863,0,0.857142857142857,1,0.75,0.75,0,0,0.75,0.75,1
"7","SM11HN","2023-10-27",2,-77,-77,"-66",1698384780,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",7,7,1,1,75.25,65.25,6.5,4,0,0,0,0,37.3753483818769,40.3928624057931,0.577350269189626,0,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"8","SM11HN","2023-10-28",2,-77,-77,"-66",1698482160,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-27",7,7,1,1,62.6666666666667,59.1666666666667,6.33333333333333,4,0,0,0,0,43.8482230730809,43.5633638125738,1.211060141639,0,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"9","SM11HN","2023-10-29",1,2,3,"Zunächst war ich in einer Logik Vorlesung in einem mir unbekannten Hörsaal. Ich singe und eine Freundin ignoriert mich. Fahre mit dem Bus nachhause,sind über Fahrräder und ähnliches gefahren, dabei durch einen Park. Aufeinmal ging die Fahrt von vorne los. Diesmal wollte Sängerin Lorde mit ihrem Fahrrad vorfahren und Gegenstände von der Fahrbahn zu entfernen. DasTeam, welches die Gegenstände entfernen wollte ist losgefahren und dachte es hätte Lorde mitgenommen. Sie wurd zurückgelassen und dachte es wäre aufgrund ihres Geschlechtes. Sie meinte sie würde an ein Deutsch-Kroatisches Meer reisen um dort einen Hai zu sehen der in vier Wochen wohl auftauchen soll. Kurz vor dem Ende seh ich dass unser Bus ein Nachtexpress ist, obwohl es hell und Tag war. ",1698619500,9,1,3,8,5,1,0,0,1,1,3,0,1,0,0,0,1,0,1,3,2,119,14.875,2.66666666666667,3,2,"2023-10-28",7,7,1,1,45.4,45.4,5.8,4,0,0,0,0,51.0470371324331,51.0470371324331,1.6431676725155,0,0.714285714285714,0.625,0.2,0.125,0,0,0.2,0.125,0.666666666666667
"10","SM11HN","2023-10-30",1,2,3,"Ich käme zu spät zu einem Konzert und mein Cousin hat mir angeboten mich zu fahren. ",1698690720,10,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,16,16,1,1,1,"2023-10-29",7,7,1,1,100,100,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,1,1,1,0,0,1,1,1
