"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","SR10DA","2023-10-27",1,2,2,"Ich hab auf die Bahn gewartet aber sie kam nicht also bin ich solange zu einem Kiosk gelaufen um Zigaretten zu holen.  Als ich rein gehe sehe ich meinen Bruder wie er dem Besitzer erklärt wie gestern jemand versucht hat Geld aus seiner Kasse zu klauen.  Ich gehe nach vorne zu der Verkäuferin und sage ihr ich möchte Malboro Silver, worauf sie antwortet: „Die haben wir nicht gibt es die überhaupt?“ und „Rauchst du überhaupt?“. Das macht mich sauer weil sie mich nicht ernst nimmt und nach einem hin und her kriege ich meine Zigaretten während ein junge im alter von meinem Bruder auch im Kiosk ist und mich nervt (er fragt mich nach einem Feuerzeug) danach schlägt er aus Spaß meinem bruder gegen den Arm und ich sage ihm dass er das nicht vor mir machen soll. Mein bruder versucht mich zu beruhigen, sagt das wäre nur Spaß von seinem Freund und ich widme mich wieder der Kassiererin bestelle noch ein Feuerzeug und bezahle. Danach wache ich auf. Ich war die ganze Zeit über leicht reizbar als ob ich wirklich meine Zigaretten brauchte. Wichtig ist es auch zu sagen dass ich überhaupt nicht rauche im echten Leben.",1698386580,1,1,2,11,7,7,3,3,7,4,3,3,0,0,0,0,0,0,4,6,0,207,18.8181818181818,5.5,2,1,"2023-10-26",6.42857142857143,7,1,1.57142857142857,94.1428571428571,82.5714285714286,5.71428571428571,4,0.786795792469443,0,0,0.786795792469443,7.75518259893712,25.0057136328023,0.951189731211342,0.144337567297406,1,0.636363636363636,1,0.636363636363636,0.0363321799307958,0.272727272727273,1,0.636363636363636,0.5
"2","SR10DA","2023-10-28",1,2,4,"Die Erinnerungen sind nur sehr schwach. Ich war bei uns im Wohnzimmer und wir hatten besuch von der Familie meiner Freundin. Wir haben zusammen gegessen mit meiner Mutter, meinem Bruder, meine Freundin, ihr cousin, seine Söhne, seine Frau, und ein alter Mann mit dem ich mich viel unterhalten habe. Danach habe ich mit den Kindern gespielt um sie zu beschäftigen damit ich gut bei ihrem Cousin ankomme.",1698474120,2,1,1,3,3,3,3,2,2,1,0,1,0,1,0,0,0,0,2,1,0,69,23,3,1,1,"2023-10-27",7,7,1,1,83.3333333333333,71.8333333333333,6.16666666666667,4,0,0,0,0,40.8248290463863,37.0805429661793,1.16904519445001,0,0.857142857142857,1,1,1,0.0417633410672854,0.666666666666667,0.666666666666667,0.666666666666667,1
"3","SR10DA","2023-10-29",2,-77,-77,"-66",1698564300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-28",6.8,6.8,1,1.4,100,73.6,6.2,4,0.447213595499958,0.447213595499958,0,0.547722557505166,0,37.5273233791061,1.30384048104053,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"4","SR10DA","2023-10-30",1,2,4,"Ich war in einem Videospiel welches in einem Eisgebiet statt gefunden hat. Es ging darum Dinosaurier zu Jagen und zu Überleben, also nicht zu erfrieren. Danach sind wir ins Hauptquartier zurück und ich habe mich dort auf die nächste Jagd vorbereitet indem ich mir Rüstung ausgesucht habe. Während der ganzen Zeit lief Musik im Hintergrund.    Danach habe ich geträumt, dass ich aufgestanden bin und meinen Arzttermin verpasst habe den ich heute tatsächlich hatte.    In meinem dritten Traum kam ich gerade von einer Party und wollte nachhause fahren. Mein Auto war aber nicht mehr da, weil ein Kollege von mir damit nachhause gefahren ist. Deshalb hab ich ihn angerufen um ihm (natürlich aus Spaß) zu sagen „Ich laufe jetzt zu dir und auf dem Weg trinke ich ne Cola und wenn du mir dann nicht den Schlüssel gibst pinkel ich dir süße Pisse in den Hausflur.“",1698651780,4,3,4,7,2,2,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,147,21,1.75,1.33333333333333,2,"2023-10-29",6.6,6.8,1.2,1.8,77.8,37.2,5.6,4.1,0.894427190999916,0.447213595499958,0.447213595499958,0.836660026534076,27.3623829371639,37.4926659494894,1.14017542509914,0.136930639376292,0.714285714285714,0.285714285714286,1,0.285714285714286,0.0268817204301075,0,0.5,0.142857142857143,0.5
"5","SR10DA","2023-10-31",1,1,5,"Das neue Iphone kam raus und ich habe mich sehr darüber gefreut wie gut es war. Die hälfte der Rückseite bestand aus vielen Kameras hinter einer verdunkelten Scheibe. Der Sound klang wie aus einer richtigen kino Anlage. Ich war so euphorisch, dass ich fast geweint habe.",1698739860,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,1,1,NA,"2023-10-30",7,7,1,1.14285714285714,94.7142857142857,69.4285714285714,6.57142857142857,4.03571428571429,0,0,0,0.377964473009227,9.56929613772239,21.1806290657064,0.534522483824849,0.0944911182523068,1,0,NA,0,0,0,NA,0,NA
"6","SR10DA","2023-11-01",2,-77,-77,"-66",1698829680,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-31",6.8,6.6,1,1.2,72.6,67.6,6.6,3.9,0.447213595499958,0.547722557505166,0,0.447213595499958,41.662933166065,40.2591604482756,0.894427190999916,0.223606797749979,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"7","SR10DA","2023-11-02",1,2,3,"Es gab einen Krieg in dem eine sehr Große Armee gegen eine sehr kleine Armee auf einem berg gekämpft hat. Die große Armee verschanzte sich auf dem hang und die kleine versuchte von unten nach oben anzugreifen dabei besitzen sie nur einfache gewehre und einige auf drei Beinen stehende Raketenwerfer. Die kleinere Armee kämpfte so gut dass die größere probleme bekam. Ich sah selber den Krieg aus verschiedenen Perspektiven beginnend mit der Sicht eines Soldaten aus der Größeren Armee. Die Verzweiflung die sich ausbreitete nachdem erkannt wurde, dass wir gerade von einer so kleinen Armee besiegt werden machte sich auch bei dem Offizieren bemerkbar welche in Sicherheit aus der Distanz zuguckten (auch aus ihrer Sicht konnte ich kurz den Kampf beobachten). Ich wechselte in die Sicht einer Soldatin aus der kleinen Armee.  Sie rannte den Berg hoch in einen Bunker indem das Dach aufgesprengt wurde und sah wie jemand der vor ihr hergelaufen war getötet wird sie läuft trotzdem den gleichen Weg entlang da sie das Gefühl hat es sei trotzdem der beste Laufweg. Sie rennt hinter eine Säule um sich zu verstecken da einige gegnerische Soldaten reingelaufen kommen und jemanden erschießen. Sie schmeißt sich einfach neben die Leiche und schmiert sich mit dem Blut ein um sich tot zu stellen. Bis hierhin war es eine relativ normale Szene die auch aus dem zweiten Weltkrieg sein könnte (auch was die Kleidung und Ausrüstung angeht), jedoch taucht aufeinmal ein Yeti auf welches die gegnerischen Soldaten kommandiert und riecht dass etwas nicht stimmt. Er schickt einen Falken um die Leichen zu kontrollieren, dieser merkt auch dass die Soldatin noch lebt lenkt aber aus mitleid den Yeti ab um sie am Leben zu lassen. Ich höre die ganze zeit über Kriegsgeräusche und Sirenen. Der Berg ist komplett mit Schnee bedeckt und man sieht einige Tannen zwischen den grauen beton bunkern. Die Soldatin hat Blaue Augen und Blonde Haare der Soldat vom Anfang hat Braune Haare und Braune Augen und der Offizier hat einen Schnurrbart eine Halbglatze und ist dick. Bei der Soldatin habe ich gemerkt, dass sie den Krieg entscheidend verändern wird aber danach bin ich aufgewacht.",1698918480,7,1,4,14,7,1,0,0,1,0,0,7,0,0,0,5,0,0,0,12,0,356,25.4285714285714,3.5,4,3,"2023-11-01",7,7,1,1.16666666666667,93.6666666666667,86.5,6.83333333333333,4.04166666666667,0,0,0,0.408248290463863,10.1324561023804,13.4275835502893,0.408248290463863,0.102062072615966,0.857142857142857,0.5,0.142857142857143,0.0714285714285714,0,0,0.142857142857143,0.0714285714285714,0.75
"8","SR10DA","2023-11-03",2,-77,-77,"-66",1699003380,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-02",6.75,7,1,1,86.25,60.75,7,3.9375,0.5,0,0,0,16.2967276878928,25.9020591202064,0,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"9","SR10DA","2023-11-04",1,2,2,"Ich wusste, dass ein Freund von mir geheiratet hat aber er hat es mir nicht erzählt. Dann hat sich ein anderer Freund verplappert und derjenige der geheiratet hat hat es versucht zu vertuschen. Ich war traurig, dass er das vor mir geheim halten wollte.",1699092180,9,1,1,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,46,23,2,1,1,"2023-11-03",7,7,1,1,82.1666666666667,77.1666666666667,6.83333333333333,4,0,0,0,0,40.3505472907948,38.4417307969694,0.408248290463863,0,0.857142857142857,1,1,1,0.0129589632829374,0.5,1,1,1
"10","SR10DA","2023-11-05",2,-77,-77,"-66",1699180080,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-04",6.66666666666667,7,1,1.33333333333333,94,93.6666666666667,6.33333333333333,4,0.577350269189626,0,0,0.577350269189626,10.3923048454133,10.9696551146029,1.15470053837925,0,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
