"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","SS09MR","2023-10-20",2,-77,-77,"-66",1697789580,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-19",5.5,6.25,3.25,3,42.5,27,3.25,4.5,1,0.5,2.21735578260835,1.82574185835055,45.7638867813184,27.8208554864871,2.21735578260835,0.889756521002609,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"2","SS09MR","2023-10-21",1,2,2,"Ich habe geträumt, dass ich anstelle des Orientierungspraktikum in Psychologie ein Praktikum in der Pflege im Krankenhaus gemacht habe. Während der Schulzeit habe ich tatsächlich schon ein Praktikum in der Krankenpflege in einem Krankenhaus gemacht. Die Umgebung im Traum war mir von da bekannt ",1697918640,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,2,1,NA,"2023-10-20",6.66666666666667,6.83333333333333,1,1.83333333333333,96.5,59.8333333333333,6.16666666666667,4.08333333333333,0.516397779494322,0.408248290463863,0,1.16904519445001,8.57321409974112,34.5335585578241,0.983192080250175,0.204124145231932,0.857142857142857,0,NA,0,0,0,NA,0,NA
"3","SS09MR","2023-10-22",1,1,5,"Ich habe geträumt, dass ich im Urlaub war. In meinem Hotel gab es All-Iclusive und ich habe eine Woche lange Urlaub gemacht. Es war sehr schönes Wetter und ich war hauptsächlich  im Meer Surfen und am Abend zusammen am Strand feiern. Die Leute um mich herum waren mir unbekannt aber immer nett und im Traum hat es sich wie eine lange Freundschaft angefühlt. Der genaue Ort an dem ich mich befand war auch nicht bekannt. ",1697996520,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,19.25,2,2,NA,"2023-10-21",6.83333333333333,6.83333333333333,1.16666666666667,1.66666666666667,96,84.8333333333333,5.83333333333333,4.125,0.408248290463863,0.408248290463863,0.408248290463863,0.816496580927726,7.61577310586391,19.3123449292588,0.983192080250175,0.136930639376292,0.857142857142857,0,NA,0,0,0,NA,0,NA
"4","SS09MR","2023-10-23",1,2,3,"Der Traum erschien mir am Morgen sehr Kur. Das einzige, woran ich mich erinnern konnte war, dass ich Wellness gemacht habe und und in einerTherme mit Sauna war. Keine Menschen um mich herum   ",1698086760,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,1,1,NA,"2023-10-22",6.66666666666667,6.83333333333333,1.16666666666667,1.33333333333333,41.3333333333333,35.8333333333333,4.83333333333333,4,0.816496580927726,0.408248290463863,0.408248290463863,0.816496580927726,29.2346825990409,27.5928734760747,0.983192080250175,0,0.857142857142857,0,NA,0,0,0,NA,0,NA
"5","SS09MR","2023-10-24",1,2,2,"Eine Freundin, die sich zur Zeit im Ausland (Spanien) aufhält hat mich überraschenderweise in Deutschland besucht. Sie stand vor meiner Wohnung. Es wurde aber nicht gesprochen. Trotzdem hatte ich ein unangenehmes Gefühl und wollte sie nicht wirklich sehen. Ich war eher genervt davon, dass sie mich besuchte. ",1698175800,5,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,47,47,1,1,1,"2023-10-23",5.6,5.6,3.2,4,83.6,46.2,4.6,4.6,2.07364413533277,1.14017542509914,2.16794833886788,1.87082869338697,22.4566248577118,25.7526697645118,1.67332005306815,0.575543221661067,0.714285714285714,1,1,1,0,0,1,1,1
"6","SS09MR","2023-10-25",1,2,2,"Ich habe geträumt, dass ich morgens aufgestanden bin und mich total gestresst habe, weil ich meinen Traum vergessen habe und keinen bei dieser Studie eingeben konnte.  Danach bin ich zur Uni gegangen.",1698218160,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1,1,NA,"2023-10-24",5.4,5.8,2.4,3.2,84,22,4.4,4.2,1.51657508881031,1.30384048104053,1.94935886896179,1.30384048104053,23.0217288664427,14.8492424049175,1.14017542509914,0.370809924354783,0.714285714285714,0,NA,0,0,0,NA,0,NA
"7","SS09MR","2023-10-26",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-25",6.2,6.6,1.8,2.6,99.6,66.8,4.8,4.3,0.836660026534076,0.547722557505166,0.447213595499958,1.34164078649987,0.894427190999916,21.7186555753343,1.09544511501033,0.447213595499958,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"8","SS09MR","2023-10-27",2,-77,-77,"-66",1698433980,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",3,4.25,3.5,5.25,94.25,80,6,4,1.15470053837925,2.5,1.29099444873581,0.957427107756338,10.2102889283311,24.4948974278318,1.4142135623731,1.02062072615966,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"9","SS09MR","2023-10-28",2,-77,-77,"-66",1698522900,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-27",3,5,3,4.5,90,65,5,3.875,1.4142135623731,1.4142135623731,1.4142135623731,0.707106781186548,14.142135623731,7.07106781186548,1.4142135623731,0.176776695296637,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"10","SS09MR","2023-10-29",1,1,1,"Ich habe geträumt, dass ich Ersthelferin bei eine, Unfall war und eine Person wiederbeleben musste. Es kam keiner zu Hilfe und kein Krankenwagen, obwohl ich einen gerufen habe. Der Traum hat sich sehr lang angefühlt, aber ich habe es nicht geschafft die mir unbekannte Person wieder zum Atmen zu kriegen  ",1698608940,10,1,1,4,2,2,0,0,2,0,0,1,1,0,0,0,0,1,0,1,1,52,13,4,1,1,"2023-10-28",4,5,2.6,4.4,100,75.6,4.4,4,1.22474487139159,1,1.51657508881031,0.547722557505166,0,17.7426040929735,0.547722557505166,0.176776695296637,0.714285714285714,0.5,1,0.5,0,0,1,0.5,1
